#Classification	S-21-POLJUN-G_bracken_P.kreport
k__Bacteria	1170490
k__Bacteria|p__Cyanobacteria	319959
k__Bacteria|p__Actinobacteria	180299
k__Bacteria|p__Firmicutes	52349
k__Bacteria|p__Deinococcus-Thermus	141
k__Bacteria|p__Chloroflexi	130
k__Bacteria|p__Armatimonadetes	37
k__Bacteria|p__Tenericutes	16
k__Bacteria|p__Proteobacteria	579735
k__Bacteria|p__Acidobacteria	19325
k__Bacteria|p__Bacteroidetes	13204
k__Bacteria|p__Chlorobi	10
k__Bacteria|p__Rhodothermaeota	22
k__Bacteria|p__Gemmatimonadetes	69
k__Bacteria|p__Fibrobacteres	3
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	4393
k__Bacteria|p__Verrucomicrobia	430
k__Bacteria|p__Chlamydiae	46
k__Bacteria|p__Kiritimatiellaeota	79
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Spirochaetes	148
k__Bacteria|p__Candidatus_Saccharibacteria	20
k__Bacteria|p__Thermotogae	25
k__Bacteria|p__Fusobacteria	8
k__Bacteria|p__Nitrospirae	3
k__Bacteria|p__Elusimicrobia	3
k__Bacteria|p__Synergistetes	8
k__Bacteria|p__Deferribacteres	2
k__Bacteria|p__Aquificae	2
k__Bacteria|p__Coprothermobacterota	10
k__Eukaryota	296195
k__Eukaryota|k__Viridiplantae	262480
k__Eukaryota|k__Viridiplantae|p__Streptophyta	262264
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	215
k__Eukaryota|k__Metazoa	28149
k__Eukaryota|k__Metazoa|p__Chordata	28149
k__Eukaryota|k__Fungi	5446
k__Eukaryota|k__Fungi|p__Ascomycota	5107
k__Eukaryota|k__Fungi|p__Basidiomycota	339
k__Eukaryota|p__Bacillariophyta	62
k__Eukaryota|p__Cercozoa	30
k__Eukaryota|p__Apicomplexa	22
k__Eukaryota|p__Euglenozoa	4
k__Archaea	111
k__Archaea|p__Euryarchaeota	108
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Thaumarchaeota	1
k__Viruses	7
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
k__Viruses|k__Bamfordvirae	3
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	3
