#Classification	SRR20002385_bracken_P.kreport
k__Bacteria	37893
k__Bacteria|p__Actinobacteria	12993
k__Bacteria|p__Firmicutes	2538
k__Bacteria|p__Deinococcus-Thermus	97
k__Bacteria|p__Proteobacteria	22133
k__Bacteria|p__Bacteroidetes	128
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	1150
k__Eukaryota|k__Metazoa	912
k__Eukaryota|k__Metazoa|p__Chordata	912
k__Eukaryota|k__Fungi	201
k__Eukaryota|k__Fungi|p__Basidiomycota	196
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Viridiplantae	36
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36
