#Classification	S-25-POLJUN-B_bracken_P.kreport
k__Bacteria	64371
k__Bacteria|p__Cyanobacteria	12581
k__Bacteria|p__Actinobacteria	6642
k__Bacteria|p__Firmicutes	1395
k__Bacteria|p__Proteobacteria	39359
k__Bacteria|p__Acidobacteria	3603
k__Bacteria|p__Bacteroidetes	620
k__Bacteria|p__Planctomycetes	165
k__Bacteria|p__Chlamydiae	3
k__Eukaryota	415
k__Eukaryota|k__Metazoa	327
k__Eukaryota|k__Metazoa|p__Chordata	327
k__Eukaryota|k__Fungi	21
k__Eukaryota|k__Fungi|p__Ascomycota	21
k__Eukaryota|k__Viridiplantae	67
k__Eukaryota|k__Viridiplantae|p__Streptophyta	67
