#Classification	S-8-POLCOM-G_bracken_P.kreport
k__Bacteria	61178
k__Bacteria|p__Proteobacteria	56446
k__Bacteria|p__Actinobacteria	2734
k__Bacteria|p__Cyanobacteria	109
k__Bacteria|p__Firmicutes	656
k__Bacteria|p__Acidobacteria	709
k__Bacteria|p__Bacteroidetes	506
k__Bacteria|p__Planctomycetes	14
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	1208
k__Eukaryota|k__Viridiplantae	906
k__Eukaryota|k__Viridiplantae|p__Streptophyta	906
k__Eukaryota|k__Metazoa	262
k__Eukaryota|k__Metazoa|p__Chordata	262
k__Eukaryota|k__Fungi	38
k__Eukaryota|k__Fungi|p__Ascomycota	26
k__Eukaryota|k__Fungi|p__Basidiomycota	11
