#Classification	SRR20002391_bracken_P.kreport
k__Bacteria	6792713
k__Bacteria|p__Proteobacteria	5152244
k__Bacteria|p__Actinobacteria	1318890
k__Bacteria|p__Firmicutes	303137
k__Bacteria|p__Deinococcus-Thermus	325
k__Bacteria|p__Cyanobacteria	5
k__Bacteria|p__Bacteroidetes	17328
k__Bacteria|p__Verrucomicrobia	555
k__Bacteria|p__Chlamydiae	94
k__Bacteria|p__Fusobacteria	129
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Synergistetes	1
k__Eukaryota	15514
k__Eukaryota|k__Fungi	9074
k__Eukaryota|k__Fungi|p__Basidiomycota	8222
k__Eukaryota|k__Fungi|p__Ascomycota	852
k__Eukaryota|k__Metazoa	1133
k__Eukaryota|k__Metazoa|p__Chordata	1133
k__Eukaryota|k__Viridiplantae	5304
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5304
k__Eukaryota|p__Apicomplexa	1
k__Archaea	99
k__Archaea|p__Euryarchaeota	99
k__Viruses	151
k__Viruses|k__Heunggongvirae	151
k__Viruses|k__Heunggongvirae|p__Uroviricota	151
