#Classification	NS36_bracken_P.kreport
k__Bacteria	6184932
k__Bacteria|p__Firmicutes	2422680
k__Bacteria|p__Actinobacteria	148890
k__Bacteria|p__Bacteroidetes	1898355
k__Bacteria|p__Verrucomicrobia	1669836
k__Bacteria|p__Proteobacteria	44976
k__Bacteria|p__Spirochaetes	109
k__Bacteria|p__Candidatus_Saccharibacteria	25
k__Bacteria|p__Synergistetes	27
k__Bacteria|p__Fusobacteria	30
k__Eukaryota	178
k__Eukaryota|k__Fungi	177
k__Eukaryota|k__Fungi|p__Ascomycota	177
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Archaea	19
k__Archaea|p__Euryarchaeota	19
k__Viruses	78488
k__Viruses|k__Heunggongvirae	78488
k__Viruses|k__Heunggongvirae|p__Uroviricota	78488
