#Classification	NS36_bracken_F.kreport
k__Bacteria	6184550
k__Bacteria|p__Firmicutes	2422680
k__Bacteria|p__Firmicutes|c__Clostridia	2262955
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2262955
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	1453455
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	475919
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	310376
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	18586
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2731
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	1842
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	42
k__Bacteria|p__Firmicutes|c__Bacilli	55558
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	48740
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	29992
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	17723
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	873
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	151
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	6817
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	6817
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	53377
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	53377
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	43746
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	9631
k__Bacteria|p__Firmicutes|c__Negativicutes	49338
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	49323
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	49323
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	15
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	15
k__Bacteria|p__Firmicutes|c__Tissierellia	1449
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	1449
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	1449
k__Bacteria|p__Actinobacteria	148890
k__Bacteria|p__Actinobacteria|c__Actinomycetia	86843
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	86332
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	86332
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	325
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	325
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	154
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	153
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	21
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	21
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	8
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	8
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	62047
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	51904
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	51885
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	19
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	10142
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	10142
k__Bacteria|p__Bacteroidetes	1898355
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1897914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	1897914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	1254420
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	346701
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	266241
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	29757
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	585
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	117
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	88
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	441
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	441
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	441
k__Bacteria|p__Verrucomicrobia	1669454
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1669454
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1669454
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	1669454
k__Bacteria|p__Proteobacteria	44976
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	22775
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	22766
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	22434
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	245
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	87
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	8
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	8
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	9479
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	9479
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	9479
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2036
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2036
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2036
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10650
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	5680
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	5680
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	2484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2477
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2477
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	8
