name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas_E sp903970465	138888	S	494	13858	14352	0.29143
Pseudomonas_E graminis_D	138372	S	180	12232	12412	0.25204
Pseudomonas_E sp020515695	138765	S	34	1834	1868	0.03793
Pseudomonas_E sp018449655	138748	S	13	625	638	0.01296
Pseudomonas_E sp016650635	138736	S	2	968	970	0.01970
Pseudomonas_E syringae_M	138912	S	2	486	488	0.00991
Pseudomonas_E sp026153515	138806	S	2	386	388	0.00788
Pseudomonas_E sp016651105	138739	S	1	385	386	0.00784
Caballeronia sp001557535	126764	S	4	235	239	0.00485
Rhizobium rhododendri	119997	S	112	6898	7010	0.14235
Methylobacterium sp022829365	118326	S	6	309	315	0.00640
Methylobacterium sp008039875	118308	S	5	294	299	0.00607
Methylobacterium mesophilicum_A	118270	S	1	45	46	0.00093
Methylobacterium sp022829515	118331	S	1	55	56	0.00114
Methylobacterium sp022829385	118327	S	1	46	47	0.00095
Methylobacterium sp022829605	118334	S	1	40	41	0.00083
Lichenihabitans flavocetrariae	118233	S	4	34	38	0.00077
Lichenihabitans minor	118234	S	2	82	84	0.00171
Roseiarcus sp030153205	118539	S	2	12	14	0.00028
Lichenicoccus roseus	113922	S	77	1966	2043	0.04149
Lichenicola sp903844135	113925	S	3	213	216	0.00439
Acidisoma sp009765865	113615	S	1	13	14	0.00028
Sphingomonas_N sp937859915	125357	S	3	77	80	0.00162
Sphingomonas_N sp903871605	125356	S	1	66	67	0.00136
Sphingomonas sp000251145	125102	S	1	152	153	0.00311
Sphingomonas yabuuchiae	125315	S	1	706	707	0.01436
CANFPP01 sp947449005	115957	S	1	0	1	0.00002
Palsa-1515 sp903970385	102220	S	258	5222	5480	0.11128
Tityobacter terrigena	102231	S	1	131	132	0.00268
Nostoc sp017115085	96877	S	1	272	273	0.00554
Palsa-504 sp003161205	50189	S	6	32	38	0.00077
Palsa-504 sp003140115	50188	S	1	20	21	0.00043
Frondihabitans sp003752365	43909	S	1	58	59	0.00120
RYN-133 sp025963285	45625	S	1	4	5	0.00010
Acidisarcina polymorpha	40108	S	16	51	67	0.00136
Edaphobacter lichenicola	40130	S	2	101	103	0.00209
Edaphobacter lichenicola_C	40133	S	1	54	55	0.00112
Silvibacterium bohemicum	40370	S	1	17	18	0.00037
Granulicella_D sp903642265	40207	S	1	0	1	0.00002
Mucilaginibacter sp018449775	89923	S	1	4	5	0.00010
