Dataset Database Index .y. group1 group2 n1 n2 statistic p p.signif
AD_Skin MOTUS3 Hill_2 Index_value A B 23 37 364.5 0.358 ns
AD_Skin MOTUS3 Richness Index_value A B 23 37 384 0.532 ns
AD_Skin MOTUS3 Shannon Index_value A B 23 37 373 0.429 ns
AD_Skin MOTUS3 Simpson Index_value A B 23 37 364.5 0.358 ns
AD_Skin MOTUS3 Tail Index_value A B 23 37 384 0.533 ns
AD_Skin MOTUS4 Hill_1 Index_value A B 24 37 378.5 0.337 ns
AD_Skin MOTUS4 Hill_2 Index_value A B 24 37 370.5 0.281 ns
AD_Skin MOTUS4 Richness Index_value A B 24 37 383 0.371 ns
AD_Skin MOTUS4 Shannon Index_value A B 24 37 378.5 0.337 ns
AD_Skin MOTUS4 Simpson Index_value A B 24 37 370.5 0.281 ns
AD_Skin MOTUS4 Tail Index_value A B 24 37 390.5 0.434 ns
AD_Skin MPA_db2022 Hill_1 Index_value A B 27 43 549 0.71 ns
AD_Skin MPA_db2022 Hill_2 Index_value A B 27 43 560 0.811 ns
AD_Skin MPA_db2022 Richness Index_value A B 27 43 419.5 0.0523 ns
AD_Skin MPA_db2022 Shannon Index_value A B 27 43 549 0.71 ns
AD_Skin MPA_db2022 Simpson Index_value A B 27 43 560 0.811 ns
AD_Skin MPA_db2022 Tail Index_value A B 27 43 518 0.457 ns
AD_Skin MPA_db2023 Hill_1 Index_value A B 27 43 544 0.666 ns
AD_Skin MPA_db2023 Hill_2 Index_value A B 27 43 538 0.615 ns
AD_Skin MPA_db2023 Richness Index_value A B 27 43 452.5 0.123 ns
AD_Skin MPA_db2023 Shannon Index_value A B 27 43 544 0.666 ns
AD_Skin MPA_db2023 Simpson Index_value A B 27 43 538 0.615 ns
AD_Skin MPA_db2023 Tail Index_value A B 27 43 523 0.494 ns
AD_Skin MPA_db2025 Hill_1 Index_value A B 27 43 547 0.692 ns
AD_Skin MPA_db2025 Hill_2 Index_value A B 27 43 527 0.525 ns
AD_Skin MPA_db2025 Richness Index_value A B 27 43 449.5 0.115 ns
AD_Skin MPA_db2025 Shannon Index_value A B 27 43 547 0.692 ns
AD_Skin MPA_db2025 Simpson Index_value A B 27 43 527 0.525 ns
AD_Skin MPA_db2025 Tail Index_value A B 27 43 520 0.472 ns
AD_Skin SM_RefSeq_20250528 Hill_1 Index_value A B 27 43 518 0.457 ns
AD_Skin SM_RefSeq_20250528 Hill_2 Index_value A B 27 43 474 0.202 ns
AD_Skin SM_RefSeq_20250528 Richness Index_value A B 27 43 540 0.629 ns
AD_Skin SM_RefSeq_20250528 Shannon Index_value A B 27 43 518 0.457 ns
AD_Skin SM_RefSeq_20250528 Simpson Index_value A B 27 43 474 0.202 ns
AD_Skin SM_RefSeq_20250528 Tail Index_value A B 27 43 533 0.573 ns
AD_Skin SM_genbank-2022.03 Hill_1 Index_value A B 27 43 485 0.254 ns
AD_Skin SM_genbank-2022.03 Hill_2 Index_value A B 27 43 478 0.22 ns
AD_Skin SM_genbank-2022.03 Richness Index_value A B 27 43 526 0.514 ns
AD_Skin SM_genbank-2022.03 Shannon Index_value A B 27 43 485 0.254 ns
