#Classification	S-4-POLCOM-G_bracken_P.kreport
k__Bacteria	652839
k__Bacteria|p__Proteobacteria	460833
k__Bacteria|p__Actinobacteria	127161
k__Bacteria|p__Cyanobacteria	6950
k__Bacteria|p__Firmicutes	6716
k__Bacteria|p__Deinococcus-Thermus	84
k__Bacteria|p__Chloroflexi	58
k__Bacteria|p__Armatimonadetes	16
k__Bacteria|p__Tenericutes	10
k__Bacteria|p__Acidobacteria	30370
k__Bacteria|p__Bacteroidetes	17973
k__Bacteria|p__Chlorobi	6
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Gemmatimonadetes	74
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Planctomycetes	1940
k__Bacteria|p__Verrucomicrobia	371
k__Bacteria|p__Chlamydiae	64
k__Bacteria|p__Kiritimatiellaeota	68
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Candidatus_Saccharibacteria	30
k__Bacteria|p__Spirochaetes	76
k__Bacteria|p__Nitrospirae	6
k__Bacteria|p__Thermotogae	4
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Deferribacteres	4
k__Bacteria|p__Elusimicrobia	3
k__Bacteria|p__Fusobacteria	2
k__Bacteria|p__Atribacterota	1
k__Eukaryota	99258
k__Eukaryota|k__Viridiplantae	74280
k__Eukaryota|k__Viridiplantae|p__Streptophyta	74124
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	155
k__Eukaryota|k__Metazoa	21186
k__Eukaryota|k__Metazoa|p__Chordata	21186
k__Eukaryota|k__Fungi	3689
k__Eukaryota|k__Fungi|p__Ascomycota	3457
k__Eukaryota|k__Fungi|p__Basidiomycota	232
k__Eukaryota|p__Apicomplexa	39
k__Eukaryota|p__Bacillariophyta	17
k__Eukaryota|p__Cercozoa	7
k__Eukaryota|p__Euglenozoa	29
k__Eukaryota|p__Evosea	5
k__Eukaryota|p__Rhodophyta	3
k__Archaea	112
k__Archaea|p__Euryarchaeota	110
k__Archaea|p__Thaumarchaeota	1
k__Archaea|p__Crenarchaeota	1
k__Viruses	21
k__Viruses|k__Heunggongvirae	20
k__Viruses|k__Heunggongvirae|p__Uroviricota	20
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
