#Classification	S-27-POLPIL-G_bracken_P.kreport
k__Bacteria	94176
k__Bacteria|p__Proteobacteria	72972
k__Bacteria|p__Cyanobacteria	11326
k__Bacteria|p__Actinobacteria	7728
k__Bacteria|p__Acidobacteria	1611
k__Bacteria|p__Bacteroidetes	469
k__Bacteria|p__Planctomycetes	60
k__Bacteria|p__Verrucomicrobia	5
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	54201
k__Eukaryota|k__Viridiplantae	51301
k__Eukaryota|k__Viridiplantae|p__Streptophyta	51301
k__Eukaryota|k__Metazoa	2649
k__Eukaryota|k__Metazoa|p__Chordata	2649
k__Eukaryota|k__Fungi	250
k__Eukaryota|k__Fungi|p__Ascomycota	193
k__Eukaryota|k__Fungi|p__Basidiomycota	57
