Module	Section	Sample Name	Source
FastQC	all_sections	NS7_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS7_paired_2_fastqc/fastqc_data.txt
FastQC	all_sections	NS41_paired_1	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS41_paired_1_fastqc/fastqc_data.txt
FastQC	all_sections	NS81_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS81_paired_2_fastqc/fastqc_data.txt
FastQC	all_sections	NS34_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS34_paired_2_fastqc/fastqc_data.txt
FastQC	all_sections	NS9_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS9_paired_2_fastqc/fastqc_data.txt
FastQC	all_sections	NS78_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS78_paired_2_fastqc/fastqc_data.txt
FastQC	all_sections	NS70_paired_1	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS70_paired_1_fastqc/fastqc_data.txt
FastQC	all_sections	NS51_paired_1	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS51_paired_1_fastqc/fastqc_data.txt
FastQC	all_sections	NS13_paired_1	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS13_paired_1_fastqc/fastqc_data.txt
FastQC	all_sections	NS32_paired_1	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS32_paired_1_fastqc/fastqc_data.txt
FastQC	all_sections	NS77_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS77_paired_2_fastqc/fastqc_data.txt
FastQC	all_sections	NS6_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS6_paired_2_fastqc/fastqc_data.txt
FastQC	all_sections	NS40_paired_1	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS40_paired_1_fastqc/fastqc_data.txt
FastQC	all_sections	NS25_paired_2	/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/fastqc_reports/NS25_paired_2_fastqc/fastqc_data.txt
