Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
NS10_paired_1	(1, 32.585374678983236)	(2, 32.770767296901944)	(3, 32.836906251831735)	(4, 36.31238643236764)	(5, 36.24092111119628)	(6, 36.2593991004123)	(7, 36.25743233929516)	(8, 36.25309027954465)	(9, 38.01628819914344)	(10, 38.01178313501738)	(12, 38.01405939913262)	(14, 39.48131874847422)	(16, 39.47075937414049)	(18, 39.47655317525599)	(20, 39.478061237470925)	(22, 39.448109012366594)	(24, 39.4260666259149)	(26, 39.342376419414244)	(28, 39.3067216176733)	(30, 39.26585945214427)	(32, 39.192748909976174)	(34, 39.11336722836683)	(36, 39.02156838953448)	(38, 38.91402193509906)	(40, 38.78359049564925)	(42, 38.65277322415811)	(44, 38.49600576880094)	(46, 38.31876497997732)	(48, 38.12278730316285)	(50, 37.94685104134695)	(52, 37.72521410412226)	(54, 37.51216074182808)	(56, 37.31889150394939)	(58, 37.123074503419225)	(60, 36.884041922152974)	(62, 36.656926616482565)	(64, 36.423228236987256)	(66, 36.16401309885555)	(68, 35.929583601256326)	(70, 35.68965706309966)	(72, 35.445122307397426)	(74, 35.28540711765326)	(76, 34.141523101598075)
NS10_paired_2	(1, 31.818490823445448)	(2, 32.17175709457523)	(3, 32.272260302649485)	(4, 35.83413553976872)	(5, 35.82967850335815)	(6, 35.84734674448579)	(7, 35.76770849906183)	(8, 35.835902863079866)	(9, 37.343011045488886)	(10, 37.55678510443552)	(12, 37.60895403284661)	(14, 38.91484746429765)	(16, 38.84064561004941)	(18, 38.93693812001244)	(20, 38.96994286271916)	(22, 38.912521360859884)	(24, 38.89106686102124)	(26, 38.81430931233651)	(28, 38.703918514076435)	(30, 38.69933478594696)	(32, 38.57741926834908)	(34, 38.50494387560878)	(36, 38.381423918301515)	(38, 38.21331753397287)	(40, 38.11209696976919)	(42, 37.87480809042769)	(44, 37.4091542677597)	(46, 37.15418152721211)	(48, 36.95574392958662)	(50, 36.758520081227516)	(52, 36.59303137770975)	(54, 36.4622196566591)	(56, 36.262698421466794)	(58, 36.08313663828706)	(60, 35.90288867599434)	(62, 35.68725620771982)	(64, 35.458645484437895)	(66, 35.25767229577553)	(68, 35.06104297865065)	(70, 34.84842516120999)	(72, 34.68554693509461)	(74, 34.53319447369951)	(76, 32.49396270157442)
NS11_paired_1	(1, 32.52370485987364)	(2, 32.70483726428934)	(3, 32.77368947113851)	(4, 36.277899842139675)	(5, 36.19934894215025)	(6, 36.21292958258562)	(7, 36.21074745340938)	(8, 36.20439742744783)	(9, 37.95703693858398)	(10, 37.95065946774449)	(12, 37.95262256065678)	(14, 39.39846796810278)	(16, 39.38778237022069)	(18, 39.394982566621465)	(20, 39.3962556495608)	(22, 39.36766249752833)	(24, 39.346533143414774)	(26, 39.26430580599006)	(28, 39.23190016834165)	(30, 39.197374838614316)	(32, 39.13313409005396)	(34, 39.0668582384492)	(36, 38.99199798842113)	(38, 38.90212679507472)	(40, 38.79017351828045)	(42, 38.67775148950541)	(44, 38.5397242717665)	(46, 38.37643290034464)	(48, 38.189808187748056)	(50, 38.01507518695418)	(52, 37.78698153525166)	(54, 37.55746065442594)	(56, 37.340695125835154)	(58, 37.11104559365354)	(60, 36.83558775614159)	(62, 36.566835673122334)	(64, 36.29314063696002)	(66, 35.99523221769532)	(68, 35.72699493502466)	(70, 35.45881666024898)	(72, 35.19628634317331)	(74, 35.02630694117832)	(76, 33.902999080926136)
NS11_paired_2	(1, 31.620638731178857)	(2, 31.960971488561825)	(3, 31.943584374245674)	(4, 35.43574670520973)	(5, 35.57653291732126)	(6, 35.470492312755034)	(7, 35.498145575735386)	(8, 35.60075125779222)	(9, 37.21834733218143)	(10, 37.09158728235722)	(12, 37.386692645203986)	(14, 38.77792215743924)	(16, 38.75342289903905)	(18, 38.787036209334374)	(20, 38.831064458739306)	(22, 38.81257634740302)	(24, 38.85337665441972)	(26, 38.76050498444725)	(28, 38.612473749300975)	(30, 38.64881775960666)	(32, 38.39250422879827)	(34, 38.44620421655263)	(36, 38.38047190422104)	(38, 38.28386616256961)	(40, 38.090702021681196)	(42, 38.06861033252606)	(44, 37.8700799992054)	(46, 37.52738613283504)	(48, 37.256360219773356)	(50, 37.026452728045115)	(52, 36.838579139355794)	(54, 36.68992057130953)	(56, 36.460033996551886)	(58, 36.240937034778)	(60, 36.01614959469558)	(62, 35.7556173196742)	(64, 35.483783719265574)	(66, 35.242919010252265)	(68, 35.00599436720039)	(70, 34.75902948656722)	(72, 34.56664588082923)	(74, 34.393273948001664)	(76, 32.3709231895465)
NS13_paired_1	(1, 32.919684990508834)	(2, 33.11235524571924)	(3, 33.176123513471936)	(4, 33.144092149750925)	(5, 33.190319793654524)	(6, 36.83147721381554)	(7, 37.11865725306213)	(8, 37.25697028188708)	(9, 37.307420056157056)	(10, 37.345442755041425)	(12, 37.33934785352275)	(14, 37.325301706914416)	(16, 37.3149019456225)	(18, 37.294007352781044)	(20, 37.28751646858302)	(22, 37.266404418659086)	(24, 37.25912530630987)	(26, 37.23781440468193)	(28, 37.22593406393679)	(30, 37.19338035152658)	(32, 37.16718994741722)	(34, 37.15260591178911)	(36, 37.086214420103964)	(38, 36.96789510201582)	(40, 36.80038120054485)	(42, 36.76071907744424)	(44, 36.697345958892974)	(46, 36.629012114090976)	(48, 36.56102322160947)	(50, 36.46011670380352)	(52, 36.43849512106851)	(54, 36.4007583066651)	(56, 36.39977407078856)	(58, 36.34356094896264)	(60, 36.248190692549805)	(62, 36.19476850595403)	(64, 36.16081967134691)	(66, 36.159478679375724)	(68, 36.14482159222725)	(70, 36.10098593976735)	(72, 36.03661923311708)	(74, 36.12789558902092)	(76, 35.28770250934322)
NS13_paired_2	(1, 32.07785883066917)	(2, 32.587435088872674)	(3, 32.67337096602728)	(4, 32.70214563569712)	(5, 32.65464529786969)	(6, 37.01024511080497)	(7, 36.96016163664524)	(8, 36.97237929397751)	(9, 36.97907314349646)	(10, 36.95050899422174)	(12, 36.95811681951487)	(14, 36.98539069116991)	(16, 36.97597639655009)	(18, 36.96297750152674)	(20, 36.89422293857112)	(22, 36.81740786425688)	(24, 36.83617044742117)	(26, 36.80584938042745)	(28, 36.82838611301004)	(30, 36.78950154416576)	(32, 36.74952815738516)	(34, 36.72641412034228)	(36, 36.69976866416555)	(38, 36.68689073098865)	(40, 36.685571039663714)	(42, 36.61447262920293)	(44, 36.582658292382234)	(46, 36.5430217920066)	(48, 36.47632766717108)	(50, 36.43557584093164)	(52, 36.43532513064309)	(54, 36.45619392524773)	(56, 36.391428980754824)	(58, 36.29569675363837)	(60, 36.19882570837353)	(62, 36.0990234544288)	(64, 36.02266374808299)	(66, 36.13838051440555)	(68, 36.22182744515548)	(70, 36.21527878859789)	(72, 36.15066800952762)	(74, 36.247107233418205)	(76, 35.07470115121783)
NS21_paired_1	(1, 32.852338541174355)	(2, 33.03307523849981)	(3, 33.094614320638975)	(4, 33.05882544293781)	(5, 33.12278309518046)	(6, 36.65771194155993)	(7, 37.01751045138194)	(8, 37.190743846726576)	(9, 37.258429027977044)	(10, 37.31301958978065)	(12, 37.30325148036391)	(14, 37.294527251540345)	(16, 37.285579121851555)	(18, 37.272112492087295)	(20, 37.2694952689534)	(22, 37.25340293623216)	(24, 37.243825718651834)	(26, 37.21565246465579)	(28, 37.2115145744923)	(30, 37.16993009703361)	(32, 37.15251555867877)	(34, 37.13627540395697)	(36, 37.05381616711326)	(38, 36.92330069495743)	(40, 36.81445929126789)	(42, 36.48049482594253)	(44, 36.521157182527524)	(46, 36.60478709008739)	(48, 36.547944201039456)	(50, 36.46575921649787)	(52, 36.4585386096405)	(54, 36.3639620878301)	(56, 36.350193397706036)	(58, 36.29026584004761)	(60, 36.24034245833764)	(62, 36.101645062225465)	(64, 36.11187306363004)	(66, 36.11041557359051)	(68, 36.11721129219083)	(70, 36.076003980869835)	(72, 36.0028731677435)	(74, 36.13756492677899)	(76, 35.163328307971575)
NS21_paired_2	(1, 31.881756820041435)	(2, 32.490945441345325)	(3, 32.56033022826486)	(4, 32.60904513503208)	(5, 32.57912304927539)	(6, 36.89835274406356)	(7, 36.867779388731236)	(8, 36.858585966985125)	(9, 36.85544493511905)	(10, 36.83122380567082)	(12, 36.81408201100393)	(14, 36.852717905462626)	(16, 36.826862709316885)	(18, 36.8118837965289)	(20, 36.79825051668233)	(22, 36.699403901973824)	(24, 36.725912715216836)	(26, 36.71259414699615)	(28, 36.71533526178244)	(30, 36.67403267855525)	(32, 36.63208601204317)	(34, 36.583531910508455)	(36, 36.581641844180425)	(38, 36.61156953524389)	(40, 36.627085263950306)	(42, 36.52753908779238)	(44, 36.46391401708526)	(46, 36.42985008870518)	(48, 36.38978793112295)	(50, 36.252674834903516)	(52, 36.26453103766666)	(54, 36.339982039436464)	(56, 36.31359420018165)	(58, 36.246347048372186)	(60, 36.16164519131091)	(62, 36.05838755256609)	(64, 35.965054352772896)	(66, 36.08376831512434)	(68, 36.16670303646352)	(70, 36.169136032370865)	(72, 36.10122443567903)	(74, 36.2178775950262)	(76, 35.01416561307257)
NS25_paired_1	(1, 32.86723202424744)	(2, 33.05003518378999)	(3, 33.12547516856181)	(4, 33.09881369039)	(5, 33.14984236667441)	(6, 36.730367045167796)	(7, 37.08099205386194)	(8, 37.24817159973698)	(9, 37.307009001615725)	(10, 37.349758910133545)	(12, 37.34221504499655)	(14, 37.33456636366251)	(16, 37.3250236030147)	(18, 37.30640828606184)	(20, 37.302615442508866)	(22, 37.283537290961334)	(24, 37.276593528734125)	(26, 37.256584842882376)	(28, 37.24433405118403)	(30, 37.21163563215897)	(32, 37.18844741354997)	(34, 37.17704023277016)	(36, 37.12477823184716)	(38, 37.00819825912495)	(40, 36.88046848821853)	(42, 36.78433659329665)	(44, 36.73368172000478)	(46, 36.678300153370046)	(48, 36.61032116461192)	(50, 36.529675649407025)	(52, 36.51729990834436)	(54, 36.47010313225259)	(56, 36.459395080994355)	(58, 36.39490646957722)	(60, 36.30844188530354)	(62, 36.24558138525266)	(64, 36.21013745779406)	(66, 36.20290088798414)	(68, 36.199918132635005)	(70, 36.1464821676185)	(72, 36.07456782898136)	(74, 36.18779429888402)	(76, 35.24396408371081)
NS25_paired_2	(1, 31.869705881102213)	(2, 32.445379319312046)	(3, 32.55930600253548)	(4, 32.588962481459404)	(5, 32.53645888253573)	(6, 36.88197170059982)	(7, 36.82630260567624)	(8, 36.84440674320778)	(9, 36.84138273195588)	(10, 36.816790657422615)	(12, 36.82329237891648)	(14, 36.855303483342965)	(16, 36.84389138339145)	(18, 36.824809483903564)	(20, 36.752170039440585)	(22, 36.67959252608801)	(24, 36.69692884037933)	(26, 36.667820659901295)	(28, 36.68881492793107)	(30, 36.648491720691666)	(32, 36.61563668100566)	(34, 36.59344644160814)	(36, 36.56081126907638)	(38, 36.54145267068499)	(40, 36.531593335210665)	(42, 36.460369242758205)	(44, 36.429646871223)	(46, 36.39040071032119)	(48, 36.30851563759637)	(50, 36.269632465560946)	(52, 36.26365876149322)	(54, 36.28679890512669)	(56, 36.20751635380123)	(58, 36.10512482437722)	(60, 36.00069093696788)	(62, 35.898607694287975)	(64, 35.81305846918892)	(66, 35.92790657767661)	(68, 36.019684395947266)	(70, 36.01279625871132)	(72, 35.944037203886225)	(74, 36.07965860683974)	(76, 34.913461898455665)
