feature	Acetobacteraceae	Acidaminococcaceae	Acidithiobacillaceae	Acidothermaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alcanivoracaceae	Alicyclobacillaceae	Alteromonadaceae	Aquificaceae	Atopobiaceae	Aurantimonadaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bdellovibrionaceae	Beijerinckiaceae	Beutenbergiaceae	Bifidobacteriaceae	Boseaceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiaceae	Calotrichaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chelatococcaceae	Chitinophagaceae	Chloroflexaceae	Christensenellaceae	Chromatiaceae	Chromobacteriaceae	Chroococcaceae	Chroococcidiopsidaceae	Clostridiaceae	Clostridiales.Family.XVII..Incertae.Sedis	Coleofasciculaceae	Comamonadaceae	Conexibacteraceae	Coriobacteriaceae	Corynebacteriaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Desulfovibrionaceae	Devosiaceae	Dietziaceae	Dysgonomonadaceae	Ectothiorhodospiraceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Gordoniaceae	Halieaceae	Halomonadaceae	Helicobacteraceae	Hydrogenophilaceae	Hymenobacteraceae	Hyphomicrobiaceae	Iamiaceae	Idiomarinaceae	Immundisolibacteraceae	Intrasporangiaceae	Jonesiaceae	Kytococcaceae	Lachnospiraceae	Lacipirellulaceae	Lactobacillaceae	Lawsonellaceae	Legionellaceae	Leptolyngbyaceae	Leptotrichiaceae	Listeriaceae	Marinobacteraceae	Methylobacteriaceae	Methylococcaceae	Methylophilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Miltoncostaeaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Mycobacteriaceae	Mycoplasmataceae	Myxococcaceae	Nakamurellaceae	Nanopelagicaceae	Nanosynbacteraceae	Neisseriaceae	Nitrosomonadaceae	Nitrospiraceae	Nocardiaceae	Nocardioidaceae	Nocardiopsaceae	Nostocaceae	Oceanospirillaceae	Odoribacteraceae	Ornithinimicrobiaceae	Oscillatoriaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Parachlamydiaceae	Pasteurellaceae	Pectobacteriaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Pirellulaceae	Planctomycetaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudoalteromonadaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rhodospirillaceae	Rhodothermaceae	Rikenellaceae	Roseiflexaceae	Roseobacteraceae	Rubrobacteraceae	Sanguibacteraceae	Scytonemataceae	Selenomonadaceae	Shewanellaceae	Sinobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Sphingosinicellaceae	Spirosomaceae	Staphylococcaceae	Stappiaceae	Steroidobacteraceae	Sterolibacteriaceae	Streptococcaceae	Streptomycetaceae	Streptosporangiaceae	Sulfuricellaceae	Sutterellaceae	Symbiobacteriaceae	Synergistaceae	Tannerellaceae	Thalassospiraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thioalkalispiraceae	Thiobacillaceae	Treponemataceae	Tsukamurellaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Wenzhouxiangellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	Zoogloeaceae
SRR20002432	0	0	0	0	18	0	0	0	5	0	0	0	0	0	0	0	18	0	0	0	0	4	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	105	0	0	0	8	0	0	0	0	0	0	205	5	0	0	0	0	0	0	26	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	9	0	0	179	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	3	0	0	0	31	0	0	0	0	4	7	18	0	173	0	708	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1474	0	0	0	0	0	0	0	0	0	50	0	0	170	0	0	0	0	0	0	0	0	12	0	1	3	0	0
SRR20002433	430	19	8	0	2357	75	1351	155	2233	17	97	0	0	100	5	2529	9017	3961	0	0	0	3556	48	849	1078	1372	138821	0	121	8	181	5782	0	0	281	0	4	0	0	73	0	16	9	0	0	17629	0	732	13664	0	288	384	2388	16	0	167	2	350	31	30782	5741	2463	10	204	0	4	200	56	109	2242	0	4147	0	391	0	10	0	0	0	410	0	26	1487	0	8067	13	60	0	61	5702	18	2534	37	10	1411	5363	64	19	191177	357	0	9013	0	0	39	0	0	1166	0	0	850	207	17	0	1	0	639	0	3048	24600	7	122	854	0	542	24	61	9	5	105	66	499	298	769785	22	2185290	38	9820	617	128214	55	7	0	862	0	116	12	54	0	16	2704	50	87	16918	1	0	159090	2031	3	3	6297	593	0	0	123	0	14	319	0	2332	0	0	14	31	18	0	297	292	1312	0	165	4150	368	35
SRR20002435	0	6	0	0	168	5	48	58	146	0	20	1	1	5	198	1193	702	568	3	0	0	352	7	42	40	44	4228	0	26	0	11	145	3	1	0	0	2	0	0	4	0	0	50	6	0	577	0	55	2804313	0	60	700	30	8	0	4	2	8	29	161000	29	21	6	3	0	0	3	0	0	325	0	179	0	416	0	0	0	0	0	106	0	20	522	0	8038	84	0	0	0	1	0	95	0	0	66	460	0	0	6736	13	0	249	0	0	0	0	0	37	0	0	150	38	0	0	0	4	11	0	431	778	3	4	25	6	35	0	5	0	0	12	9	199	0	6483	0	76264	12	129	37	852	0	0	1	118	0	0	0	3	0	0	0	3	19	548	0	0	10414	0	1	0	905	0	0	0	3	0	572	35	0	8163	0	0	0	0	0	0	42	0	52	0	0	116	0	0
SRR20002439	15	0	0	0	24	0	31	0	29	0	0	0	0	0	0	53	9	8	0	0	0	1314	3	24	34	0	2812	4	0	0	6	27	0	0	0	0	0	0	22	2	0	0	0	0	0	297	0	6	188	0	9	5	71	0	0	7	0	3	1	76	10	7	0	0	0	0	3	0	7	13	0	62	0	26	0	0	0	0	4	11	0	18	0	0	448	12	0	0	1	20	0	60	0	0	36	3120	13	0	2925	6	0	139	0	0	0	0	0	27	0	0	46	33	0	0	0	0	27	0	8	555	0	0	5	0	8	0	2	0	0	4	0	13	0	4719	0	31814	7	163	7	37	0	1	0	0	0	6	2	0	0	0	0	1	4	372	7	0	3014	5	1	0	79	0	0	0	0	0	0	1	1	75	0	0	0	0	0	0	5	1	24	0	2	91	68	0
SRR20002441	17	0	0	0	81	7	6	0	18	0	2	0	0	0	2	67	122	113	0	0	0	473	0	0	7	13	1020	0	5	0	3	60	0	0	0	0	0	0	2	0	0	0	0	3	0	46	0	7	832	0	0	6	12	0	3	3	0	1	5	10930190	9	94	0	0	0	0	1	0	2	0	0	69	0	68	1	0	0	0	0	6	0	0	32	0	2112	8	0	0	6	0	0	57	0	0	29	36	0	0	516	0	0	31	36	0	0	0	0	4	0	0	90	48	0	0	0	0	6	0	35	124	1	1	8	0	75	0	0	0	0	0	34	220	0	1029	0	22503	0	41	1	79	0	0	0	22	0	0	0	0	0	0	141	2	0	124	0	0	20461	0	0	0	58	0	0	0	0	0	0	0	0	1724	0	0	0	0	0	1	12	0	5	0	3	50	1	0
SRR20002442	293	5	0	0	710	26	1288	36	2312	16	78	0	0	247	80	3392	281	545	0	0	0	541	21	714	422	0	100516	5	25	36	76	1938	0	2	10	0	0	0	16	91	0	34	0	0	0	11890	0	53	6148	9	46	62	1185	0	5	74	0	267	96	2806	146	140	0	193	0	0	81	14	141	309	0	4030	0	70	2	12	0	0	4	287	0	202	374	0	568	1	0	8	132	117	0	2768	0	0	411	5091	18	0	67700	119	19	3881	0	0	1	3	16	279	3	0	127	215	412	0	0	0	243	0	265	17961	0	218	103	0	39	0	14	0	0	104	8	437	0	44853	0	1962399	98	7939	4	897	119	0	0	163	0	0	2	0	8	16	0	170	22	12857	0	0	18783	11	0	0	987	45	0	8	0	0	3	211	0	282	0	0	0	1	3	19	73	0	898	0	26	1510	245	72
SRR20002443	74	8	0	0	2414	38	788	5	8940	5	43	0	0	19	13	184	5431	558	0	0	0	3361	16	557	27563	157	110240	0	2316	11	67	1693	0	0	4	0	0	0	6	51	8	14	3	2	0	11777	3	130	651181	0	258	1326	2266	2	2	65	23	239	6	22771	2581	103	6	95	9	0	22	199814	25	405	0	3342	0	6485	0	0	0	0	0	67	0	11	645	0	6958	535	7	0	343	2202	0	2625	30	0	784	8477	81	15	73026	305	0	4303	91	0	7	0	0	355	0	11	1103	448	75	0	0	4	384	0	182	13940	8	83	231	17	211	6	109	0	0	80	525	1952	0	397987	12	1286585	76	4235	46	1109	94	5	0	104	0	20	4	60	5	0	125	84	60	9838	1	4	508008	159	0	2	4336	284	83	2	0	0	83	180	3	254	0	2	36	21	96	0	163	71	592	0	67	2080	6717	6
SRR20002446	75	14	90	0	3395	302	402	13	130928	151	0	0	0	78	243	1038	824	224	0	5	0	477	21	295	278	123	47372	0	47	67	191	4256	1	0	9	0	0	0	0	34	0	3	9	0	0	5589	1	82	37264	5	347	137	711	0	0	113	0	77	13	5480	25636	1794	3	79	0	0	84	20	82	198	20	1349	0	738	0	1	8	0	3	257	0	34	77	0	4468	5	2	0	47	285	0	2167	15	0	419	27460	51	0	39601	69	0	4429	0	0	0	0	0	2618	0	0	109	84	0	0	0	0	98	0	362	8858	5	35	971	0	643	2	17	0	0	66	114	334	0	269028	4	759113	5	3550	5235	3055	55	0	0	93	0	0	4	0	0	26	1204	32	157	5184	0	13	407939	323	10	2	796641	62	0	0	0	0	10	117	0	1190	0	0	16	99	8	0	658	10	643	74	29	4141	263	13
SRR20002448	113	14	0	0	1633	246	1457	40	9431	0	36	6	0	114	94	632	4991	1582	0	1	0	1077	53	1024	197	271	118443	0	46	16	655	2727	32	0	0	0	4	0	11	60	0	2	0	0	0	10517	0	31	17986	0	634	148	2378	1	6	26	0	146	0	15182	3721	436	16	58	0	0	249	117	7	472	0	5158	5	69	0	1	107	0	4	626	26	89	213	0	5617	28	0	0	67	1520	1	2351	0	0	2175	45478	0	0	74851	10192	0	10134	7	0	302	2	0	6027	0	4	198	710	144	0	0	0	225	10	172	21861	5	148	288613	58	2773	29	135	0	8	1194	273	2408	0	221151	233	1840535	181	6217	0	1094	74	15	0	85	0	0	0	0	0	26	6	150	65	11519	0	0	115600	716	29	9	229523	41	0	0	1	0	38	140	8	496	915	0	0	11	0	121	531	83	995	1	52	2804	118	26
SRR20002450	11	0	2	0	59	10	11	0	4951	0	2	0	0	2	0	30	8	0	0	0	0	9	0	27	29	7	2360	0	0	0	0	92	0	0	0	0	0	0	0	2	0	0	0	0	0	207	0	0	553	0	2	2	14	0	0	0	0	1	0	120	46	0	0	0	0	0	8	0	0	7	0	95	0	11	0	0	0	0	0	0	0	11	0	0	8	0	0	0	1	2	0	55	0	0	26	322	0	0	4822	14	0	118	0	0	0	0	0	125	0	0	3	0	0	0	0	0	3	2	7	338	0	0	49	0	0	0	12	0	0	2	10	6	0	19502	0	34395	0	111	50	385	0	0	0	0	0	0	0	0	0	0	0	2	0	190	0	0	2344329	11	0	0	68	10	0	0	0	0	0	0	0	46	9	0	0	5	4	0	6	0	4	1	0	103	0	0
