feature	Acetobacteraceae	Acidaminococcaceae	Acidithiobacillaceae	Acidothermaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alcanivoracaceae	Alicyclobacillaceae	Alteromonadaceae	Aquificaceae	Atopobiaceae	Aurantimonadaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bdellovibrionaceae	Beijerinckiaceae	Beutenbergiaceae	Bifidobacteriaceae	Boseaceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiaceae	Calotrichaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chelatococcaceae	Chitinophagaceae	Chloroflexaceae	Christensenellaceae	Chromatiaceae	Chromobacteriaceae	Chroococcaceae	Chroococcidiopsidaceae	Clostridiaceae	Clostridiales.Family.XVII..Incertae.Sedis	Coleofasciculaceae	Comamonadaceae	Conexibacteraceae	Coriobacteriaceae	Corynebacteriaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Desulfovibrionaceae	Devosiaceae	Dietziaceae	Dysgonomonadaceae	Ectothiorhodospiraceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Gordoniaceae	Halieaceae	Halomonadaceae	Helicobacteraceae	Hydrogenophilaceae	Hymenobacteraceae	Hyphomicrobiaceae	Iamiaceae	Idiomarinaceae	Immundisolibacteraceae	Intrasporangiaceae	Jonesiaceae	Kytococcaceae	Lachnospiraceae	Lacipirellulaceae	Lactobacillaceae	Lawsonellaceae	Legionellaceae	Leptolyngbyaceae	Leptotrichiaceae	Listeriaceae	Marinobacteraceae	Methylobacteriaceae	Methylococcaceae	Methylophilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Miltoncostaeaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Mycobacteriaceae	Mycoplasmataceae	Myxococcaceae	Nakamurellaceae	Nanopelagicaceae	Nanosynbacteraceae	Neisseriaceae	Nitrosomonadaceae	Nitrospiraceae	Nocardiaceae	Nocardioidaceae	Nocardiopsaceae	Nostocaceae	Oceanospirillaceae	Odoribacteraceae	Ornithinimicrobiaceae	Oscillatoriaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Parachlamydiaceae	Pasteurellaceae	Pectobacteriaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Pirellulaceae	Planctomycetaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudoalteromonadaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rhodospirillaceae	Rhodothermaceae	Rikenellaceae	Roseiflexaceae	Roseobacteraceae	Rubrobacteraceae	Sanguibacteraceae	Scytonemataceae	Selenomonadaceae	Shewanellaceae	Sinobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Sphingosinicellaceae	Spirosomaceae	Staphylococcaceae	Stappiaceae	Steroidobacteraceae	Sterolibacteriaceae	Streptococcaceae	Streptomycetaceae	Streptosporangiaceae	Sulfuricellaceae	Sutterellaceae	Symbiobacteriaceae	Synergistaceae	Tannerellaceae	Thalassospiraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thioalkalispiraceae	Thiobacillaceae	Treponemataceae	Tsukamurellaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Wenzhouxiangellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	Zoogloeaceae
SRR20002455	2190	0	0	0	2145	126	771	23	3668	0	41	0	0	26	5	1360	5706	1454	5	0	0	342	23	609	597	398	144836	0	13	13	65	1137	0	1	76	13	0	0	0	30	12	5	4	0	0	12499	0	127	6092	8	63	36	6751	14	0	73	0	317	75	14929	3607	531	7	93	0	0	147	39	582	590	0	4434	0	86	0	0	0	0	4	527	0	366	419	0	3754	25	0	0	31	1926	1	2993	4	4	756	4926	126	2	103782	395	0	5954	0	0	6	1	0	1250	0	0	174	486	9	0	2	1	2544	0	292	26947	95	161	609	0	196	0	70	0	0	259	44	459	0	198002	0	1939451	90	7134	3	956	154	0	0	117	0	0	1	0	0	13	46	99	27	16093	7	0	83894	942	0	1	7690	59	0	0	0	0	0	21	9	555	0	0	1	0	0	50	145	3	1678	0	111	2146	815	87
SRR20002456	117	0	0	0	174	63	259	8	1772	0	17	0	0	0	3	944	188	285	0	0	0	129	7	91	211	35	56237	0	0	0	106	719	0	0	0	3	0	0	4	4	8	0	0	0	0	4624	1	40	7092	0	47	15	1276	0	0	22	0	122	29	1687	381	174	0	22	0	0	47	8	34	177	0	1829	0	17	58	5	0	0	0	58	0	139	48	0	21003	14	0	0	108	564	0	2498	0	0	486	4550	0	0	36871	304	0	3785	0	0	0	0	0	163	0	8	292	164	7	0	0	0	51	0	128	12427	0	20	73	0	210	0	3	0	0	226	6	106	0	25939	0	891625	17	2823	0	516	18	0	0	25	0	77	71	0	0	1	0	191	27	6689	0	0	24647	0	9	0	1046	490	30	0	0	0	8	5	0	143	0	0	0	0	0	6	26	0	240	0	16	2172	92	0
SRR20002459	307	6	0	0	2934	141	569	20	1609	0	25	0	0	2	1407	476	1497	84	0	0	0	263	35	428	352	132	63777	10	3	56	66	4085	18	4	0	0	0	0	5	33	0	19	8	0	0	10002	2	168	2206	7	335	105	1009	1	0	107	0	216	59	7322	1021	115	0	3	0	0	459	14	43	559	1	2287	0	220	93	6	26	1	0	80	0	240	150	5	1056	0	0	38	128	947	0	1424	5	0	1034	9208	47	0	101985	561	0	5960	0	0	5	0	1	1959	0	0	349	267	18	32	0	0	236	0	309	11691	0	5	949	0	26	0	12	0	0	229	3	210	135	44217	0	1088687	60	5677	0	3152	41	10	0	100	0	0	1	0	15	22	12	60	77	8792	5	0	615384	159	0	2	3711	57	0	0	0	0	0	48	0	204	102	0	0	5	0	89	291	1	2009	15	16	1617	535	1
SRR20002464	150	438	2	0	1166	186	409	1039	583	1	66	0	7	21	2	48262	3589	18269	0	0	4	7990	5	587	916	161	31674	0	49	0	176	1112	0	2	0	0	2	12	17	50	0	11	398	23	0	4433	4	3311	8405	37	122	64	656	15	2	105	2	68	1579	7544	432	95	185	121	2	3	47	0	29	409	0	1395	0	1693	168	0	7	0	2	199	2	569	6750	0	1385	7	0	1	11	664	38	1996	2	0	734	4527	0	0	80326	57	26	4040	0	0	8	0	8	465	0	0	136	335	21	0	53	259	77	0	16431	6344	79	11	121	0	33	60	32	0	0	95	5	2808	0	33217	0	494517	236	2056	0	1033	6	0	14	4446	2	11	4	0	0	34	50	43	67	7552	0	0	96030	2	2	1	1677	33	1	11	102	3	49	2415	0	32411	0	0	0	4	5	16	85	8	263	0	28	1605	143	4
SRR20002465	1044	0	0	0	26093	31	262	61	5565	31	20	0	0	83	26	455	1124	2516	0	0	0	70786	43	430	767	12	47862	0	105	6	30	1135	0	0	26	0	0	0	6	37	84	0	0	0	0	8369	0	94	1042331	0	42	119	7642	8	0	107	0	147	102	10539	593	24	10	63	4	3	840	0	45	259	6	1593	0	522	31	0	3	0	2	313	0	164	142	6	2039	1057	0	0	13	966	0	1262	0	0	311	4986	0	0	51102	2494	0	8898	2	0	0	0	0	302	0	0	476	110	13	0	0	18	76	0	349	7783	13	9	224	0	42	4	27	0	0	36	102	11728	0	74639	0	639198	76	1969	51	10158	36	1	0	278	0	0	8	0	0	0	0	76	2	5599	6	0	37864	84	1	0	22570	42	0	0	3	0	0	48	7	259	31	0	0	3	12	209	40	7	383	18	17	2126	51	0
SRR20002466	217	11	0	0	1194	148	1159	70	10464	8	1	0	0	18	96	9084	1294	3602	0	0	0	915	21	744	378	83	87756	0	10	0	167	2735	0	0	0	0	0	0	7	159	0	51	138	0	0	10231	0	288	3435	0	476	57	2365	3	14	200	0	78	130	5574	1644	104	14	63	0	0	145	38	27	1189	18	2919	0	820	0	4	24	0	23	552	0	303	1183	0	1936	11	0	0	53	266	0	2393	0	3	1210	16221	0	0	68502	125	0	5677	1	0	2	1	0	2848	39	10	401	352	0	0	0	0	1500	0	836	18042	0	8	345	0	97	0	89	0	0	291	9	367	0	113438	0	1699211	114	5687	79	1442	6	0	0	339	0	0	10	0	0	20	51	171	210	13053	7	0	765439	70	0	0	3705	99	0	0	0	0	6	282	0	2413	12	0	6	0	61	162	111	13	1642	3	47	1286	279	0
SRR20002468	0	0	0	0	9	0	0	1	3193	0	0	0	0	1	0	0	17	119	0	0	0	2	0	0	6	0	410	0	1223	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1383832	0	0	862	3	0	0	0	0	0	0	1881158	369	7	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	11	0	2	0	0	8	27	0	0	174	1165287	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	1	0	0	0	0	23	0	1676	6	323	0	4964	0	17	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	16225	3	0	0	1036	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	8	2	0
SRR20002473	35	0	0	0	2811	71	347	36	748	7	23	0	0	21	3	321	1915	221	0	0	0	599	7	418	101	9	50586	0	14	4	44	778	2	1	0	0	0	0	0	43	0	8	0	2	0	4638	0	48	5287	0	16	9	1102	0	3	3	0	117	8	3117	1153	211	15	7	0	0	32	12	22	133	5	2049	0	336	0	0	1	0	11	43	0	1	67	0	1478	4	0	0	9	626	0	872	0	0	320	4249	0	0	47832	46	0	2240	0	0	3	0	3	1007	3	3	216	123	0	0	0	0	4	5	660	9220	120	28	603	0	17	7	14	0	0	42	22	148	0	37742	0	802660	209	2762	0	278	10	0	0	80	0	0	2	0	0	10	0	129	0	6653	0	0	7795226	9	2	0	57296	0	0	3	0	0	0	113	0	237	0	0	0	0	7	6	106	46	106	0	23	1522	136	12
SRR20002474	304	168	0	0	1119	3263	921	2	40207	0	4	3	0	0	97	6705	4886	15066	0	0	0	1464	99	1838	4261	106	157162	4	10	0	118	6797	0	0	6	0	0	0	205	86	0	23	60	0	0	12189	0	48	5299	27	146	4456	3703	2	0	210	2	195	1428	12105	2263	365	130	158	17	0	98	0	596	325	0	4257	7	1052	93	3	28	0	9	662	23	4417	2903	0	3369	15	0	618	43	3821	0	4958	1	1	2142	106302	0	18	86043	1158	0	14399	0	0	0	4	0	195	0	0	472	1142	6	0	0	285	69	0	4848	21045	0	50	632	0	120	10	138	0	0	38	190	320	153	94894	0	1751283	84	5492	63	2165	63	0	0	1947	0	0	42	0	24	17	277	203	81	20100	0	0	134626	47	13	6	13502	50	0	0	16	0	0	1286	0	994	12	0	6	38	1	159	289	1	1193	2	13	6159	678	23
SRR20002475	1012	2	0	0	5792	286	1729	18	48522	91	7	0	0	29	51	3995	840	1215	0	0	0	1188	141	1691	612	319	141657	0	24	15	260	3035	8	0	0	4	0	0	78	98	0	5	35	0	0	52623	0	196	8144	188	1596	353	4842	4	75	234	12	336	96	97821	886	376	87	600	35	7	54	138	60	854	0	5668	0	1278	42	0	88	0	9	1901	1	978	735	0	2559	949	0	0	67	607	0	5639	17	4	2105	17223	0	11	113178	277	0	30397	1	0	0	0	15	1166	0	0	411	2053	0	33	1	12	21623	0	728	24431	36	49	1367	17	319	0	63	9	607	114	48	719	6	280908	720	2362934	105	12416	0	3845	36	0	0	329	0	135	6	0	0	5	67	210	60	19464	117	0	124690	191	1	2	206008	1772	0	2	0	0	0	48	18	2329	2	33	0	0	21	217	472	0	2852	4	95	24177	653	31
SRR20002477	259	179	0	1	9854	213	1053	502	1378	4	119	5	10	8	0	6174	5017	1986	0	1	0	588	85	843	2228	736	98003	0	85	11	148	1919	46	0	7	6	5	0	14	76	67	45	51	16	3	11140	1	636	10706	23	189	173	8370	1	0	182	0	293	63	5887	859	496	55	213	0	0	89	20	66	467	16	3366	0	2743	64	6	1	9	1	526	0	897	1668	0	2050	38	0	0	50	199	6	2361	0	6	2995	31504	18	0	128160	263	0	18792	0	0	1	13	0	37289	1	0	1884	724	12	0	0	30	235	0	2776	15446	41	113	4375	0	591	136	42	0	0	150	15	1704	882	97273	0	1473708	196	7239	7	1583	103	8	1	648	0	0	8	4	0	7	48	88	164	14011	61	9	80658	8	3	1	28895	77	0	0	48	3	0	638	0	40122	37	0	17	23	8	843	282	26	1632	0	30	2994	626	94
SRR20002478	135	9	10	1	379	19	175	8	791	15	35	0	2	8	16	2100	1566	221	0	0	0	192	14	110	131	60	16095	0	7	0	48	834	51	3	0	0	4	0	1	9	0	3	10	9	0	2958	0	67	2459	0	9	79	136	5	4	12	1	58	2	2201	439	349	4	29	0	9	20	2	1	155	0	1081	24	616	2	0	0	0	1	76	3	499	121	0	409	3	12	2	0	176	0	496	0	0	897	3783	18	1	39017	5	0	785	0	0	0	0	0	108	0	0	173	51	0	0	0	0	73	1	360	2955	11	18	101	0	8	2	27	1	1	109	11	112	3	15660	0	607990	117	1354	0	305	20	0	1	64	0	0	0	0	0	0	106	31	23	2436	0	0	119546	49	2	8	908	174	0	0	0	0	8	42	0	15188	4	0	0	1	4	1	18	5	506	0	9	1807	31	14
SRR20002479	3	0	0	0	81	0	71	3	66	0	1	0	0	0	0	75	2	6	0	0	2	13	6	39	40	102	6125	0	0	7	1	153	0	0	0	0	0	0	0	3	0	5	2	0	0	554	0	4	243	6	9	9	316	0	6	0	0	10	10	1625	5	587	0	0	0	0	0	0	14	56	0	266	0	8	3	0	0	0	5	88	0	0	5	0	69	2	0	0	0	3	1	128	0	0	205	653	0	0	9538	2	0	519	0	0	0	0	0	46	0	0	56	131	0	0	3	0	34	0	7	935	0	10	13	19	0	0	0	0	0	8	14	34	0	6410	0	76357	159	280	65	93	1	0	0	2	0	2	0	0	0	2	11	0	12	703	4	0	184611	46	0	0	86	102	0	0	0	0	0	9	0	215	0	0	0	0	4	2	0	0	43	0	4	195	34	0
SRR20002481	6	0	0	0	19	0	58	3	36	1	21	0	0	0	0	12	450	3245	0	0	0	21	2	36	20	0	1600	0	2	0	0	59	0	0	0	0	1	4	5	3	0	3	18	1	0	224	0	99	223	0	0	0	21	0	1	6	0	4	56	54	30	2	26	0	0	0	1	0	2	21	0	49	0	219	0	3	0	0	0	7	0	17	980	0	18	0	0	0	0	8	0	70	0	0	18	437	0	0	3395	0	0	131	0	0	0	0	0	23	0	0	60	5	0	0	0	20	0	0	1364	171	7	1	5	0	13	10	0	0	0	81	22	5	0	1643	0	15691	9	54	19	14	0	0	3	82	0	0	0	0	0	0	19	0	0	195	0	2	6552	0	0	0	98	0	0	0	0	0	1	476	0	6617	0	0	0	4	0	0	7	8	3	0	0	37	0	0
SRR20002482	40	2	5	0	541	3	359	7	460	3	63	0	2	20	21	1599	5658	221	0	0	0	326	26	233	380	54	39090	0	17	5	303	1304	16	0	0	0	9	0	22	11	1	80	0	24	0	4959	0	70	3751	0	58	30	53	4	9	92	0	63	8	1277	140	199	3	5	0	0	9	4	7	471	0	1045	0	2208	0	0	0	0	1	44	0	135	225	0	218	23	0	0	0	42	0	748	5	0	377	4387	0	0	86031	68	0	1993	0	0	0	2	0	158	1	0	243	299	0	0	0	0	86	0	1000	4987	2	9	17	11	23	0	24	0	0	2	57	142	0	44950	0	480681	59	1877	14	377	30	0	7	33	2	43	0	0	0	40	65	81	11	4663	0	0	53709	2	2	0	1705	55	0	0	1	1	2	41	0	39434	0	0	34	1	7	11	31	6	30	0	19	816	91	12
SRR20002486	40	2	0	0	642	57	277	69	551	4	9	0	0	0	43	10451	142	1041	0	0	0	804	11	342	292	87	33324	0	12	0	20	732	0	0	0	0	0	0	3	43	0	1	19	0	1	4373	0	96	2529	9	351	110	650	17	11	87	0	14	98	1549	130	51	2	30	1	0	7	6	77	330	0	1507	0	65	29	0	34	0	2	207	0	413	414	1	782	7	0	1	5	589	0	1178	0	4	544	4393	82	0	20527	19	0	2503	0	0	0	0	0	106	0	0	247	252	8	0	0	1	206	1	996	5675	34	9	19	0	56	9	52	0	3	16	22	240	3	41293	0	566072	97	2046	3	2395	31	0	0	374	0	24	12	0	2	0	123	27	69	4505	0	0	15027	12	0	1	761	42	0	3	0	0	26	109	0	301	0	0	2	3	2	23	12	0	63	0	18	1043	45	21
SRR20002487	1395	6	10	6	688	219	1971	133	1126	0	195	18	26	0	213	17686	10929	3589	0	0	3	743	64	2184	394	233	85789	5	25	24	125	5526	0	0	0	0	16	10	4	170	3	136	41	56	0	18389	0	508	11234	94	615	591	969	152	79	73	0	167	141	9272	528	1405	39	62	7	0	189	65	39	504	5	3912	0	4626	185	0	13	0	9	261	0	617	1315	6	3552	14	6	4	43	645	19	3803	9	3	1283	7397	21	2	328963	206	0	4004	0	0	0	4	0	492	0	1	549	377	6	28	0	42	277	0	2813	13998	161	70	379	2	582	12	38	0	0	225	5	595	325	150067	0	3899839	228	5014	65	1357	107	1	23	1371	2	42	7	2	0	0	828	125	151	13021	0	0	896699	48	3	15	2998	2438	0	7	8	2	1	181	0	78091	0	0	9	0	33	77	682	0	1323	0	70	12668	214	12
