#Classification	NS83_bracken_P.kreport
k__Bacteria	3133440
k__Bacteria|p__Firmicutes	2726951
k__Bacteria|p__Actinobacteria	271272
k__Bacteria|p__Bacteroidetes	99214
k__Bacteria|p__Verrucomicrobia	12413
k__Bacteria|p__Proteobacteria	23446
k__Bacteria|p__Spirochaetes	119
k__Bacteria|p__Candidatus_Saccharibacteria	19
k__Bacteria|p__Synergistetes	2
k__Archaea	2283
k__Archaea|p__Euryarchaeota	2283
k__Eukaryota	168
k__Eukaryota|k__Viridiplantae	168
k__Eukaryota|k__Viridiplantae|p__Streptophyta	168
k__Viruses	15150
k__Viruses|k__Heunggongvirae	15150
k__Viruses|k__Heunggongvirae|p__Uroviricota	15150
