#Classification	MSA_3001_bracken_F.kreport
k__Bacteria	31614409
k__Bacteria|p__Firmicutes	21195498
k__Bacteria|p__Firmicutes|c__Bacilli	21195498
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	14517275
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2668697
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	11848577
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6678222
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	6678222
k__Bacteria|p__Actinobacteria	247444
k__Bacteria|p__Actinobacteria|c__Actinomycetia	247444
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	247408
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	247405
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	1
k__Bacteria|p__Proteobacteria	10171466
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8885030
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	7645821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	7645821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	711632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae	708246
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae	3386
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	527458
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	527458
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1286348
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1286266
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	1286266
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	81
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	81
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	86
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	82
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	82
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	1
k__Archaea	405971
k__Archaea|p__Euryarchaeota	405971
k__Archaea|p__Euryarchaeota|c__Halobacteria	405971
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	405971
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae	405971
