#Classification	MSA_3001_bracken_C.kreport
k__Bacteria	31614409
k__Bacteria|p__Firmicutes	21075624
k__Bacteria|p__Firmicutes|c__Bacilli	21075624
k__Bacteria|p__Actinobacteria	247444
k__Bacteria|p__Actinobacteria|c__Actinomycetia	247444
k__Bacteria|p__Proteobacteria	10291340
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	9004904
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1286348
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	86
k__Archaea	405971
k__Archaea|p__Euryarchaeota	405971
k__Archaea|p__Euryarchaeota|c__Halobacteria	405971
