#Classification	MSA_3001_bracken_O.kreport
k__Bacteria	31614409
k__Bacteria|p__Firmicutes	21075624
k__Bacteria|p__Firmicutes|c__Bacilli	21075624
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	14517275
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6558348
k__Bacteria|p__Actinobacteria	247444
k__Bacteria|p__Actinobacteria|c__Actinomycetia	247444
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	247408
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1
k__Bacteria|p__Proteobacteria	10291340
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	9004904
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	7645821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	647331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	711632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1286348
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1286266
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	81
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	86
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	82
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	3
k__Archaea	405971
k__Archaea|p__Euryarchaeota	405971
k__Archaea|p__Euryarchaeota|c__Halobacteria	405971
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	405971
