#Classification	S-1-POLJUN-B_bracken_C.kreport
k__Bacteria	76805
k__Bacteria|p__Proteobacteria	71126
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	43423
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	24545
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3155
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Actinobacteria	4651
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4273
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	377
k__Bacteria|p__Firmicutes	23
k__Bacteria|p__Firmicutes|c__Bacilli	23
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	1
k__Bacteria|p__Bacteroidetes	560
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	327
k__Bacteria|p__Bacteroidetes|c__Cytophagia	52
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	178
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2
k__Bacteria|p__Acidobacteria	408
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	408
k__Bacteria|p__Planctomycetes	24
k__Bacteria|p__Planctomycetes|c__Planctomycetia	24
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Verrucomicrobia|c__Opitutae	3
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Eukaryota	197
k__Eukaryota|k__Metazoa	109
k__Eukaryota|k__Metazoa|p__Chordata	109
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	109
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1
k__Eukaryota|k__Viridiplantae	81
k__Eukaryota|k__Viridiplantae|p__Streptophyta	81
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	79
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2
