name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lactobacillus apis	55371	S	406	2024	2430	0.07868
Lactobacillus melliventris	55401	S	133	1144	1277	0.04135
Lactobacillus helsingborgensis	55384	S	128	1255	1383	0.04478
Lactobacillus apis_A	55372	S	30	628	658	0.02131
Lactobacillus laiwuensis	55400	S	23	288	311	0.01007
Lactobacillus kimbladii	55396	S	16	352	368	0.01192
Lactobacillus kimbladii_B	55397	S	15	334	349	0.01130
Lactobacillus sp945290125	55440	S	14	77	91	0.00295
Lactobacillus kullabergensis	55399	S	11	215	226	0.00732
Lactobacillus sp946482465	55445	S	11	224	235	0.00761
Lactobacillus sp946479925	55443	S	10	245	255	0.00826
Lactobacillus sp016100975	55419	S	8	98	106	0.00343
Lactobacillus sp946477855	55442	S	4	86	90	0.00291
Lactobacillus sp946482425	55444	S	3	138	141	0.00457
Lactobacillus huangpiensis	55387	S	1	11	12	0.00039
Bombilactobacillus mellis	55231	S	288	4644	4932	0.15970
Bombilactobacillus mellifer	55230	S	63	538	601	0.01946
Bombilactobacillus mellis_A	55232	S	38	1418	1456	0.04715
Gilliamella apicola	133069	S	206	1525	1731	0.05605
Gilliamella sp946481345	133105	S	70	2467	2537	0.08215
Gilliamella sp946482005	133106	S	41	1323	1364	0.04417
Gilliamella apicola_N	133081	S	34	344	378	0.01224
Gilliamella apis_A	133086	S	26	518	544	0.01761
Gilliamella apis	133085	S	16	186	202	0.00654
Gilliamella apicola_R	133084	S	15	305	320	0.01036
Gilliamella sp946480175	133104	S	12	78	90	0.00291
Gilliamella sp002142215	133091	S	8	99	107	0.00346
Gilliamella apicola_Q	133083	S	6	66	72	0.00233
Gilliamella sp945271295	133099	S	1	0	1	0.00003
Frischella perrara	133059	S	1434	3215	4649	0.15054
Snodgrassella alvi	130431	S	384	1535	1919	0.06214
Snodgrassella alvi_G	130436	S	10	52	62	0.00201
Snodgrassella sp946481965	130443	S	7	37	44	0.00142
Vogesella mureinivorans	129842	S	14	109	123	0.00398
Limnobacter parvus	127534	S	1	2	3	0.00010
Entomomonas sp945283395	138084	S	102	37	139	0.00450
Bartonella_A apis	119303	S	2	41	43	0.00139
Bartonella_A choladocola	119304	S	1	38	39	0.00126
Bartonella_A sp945285915	119309	S	1	41	42	0.00136
Commensalibacter melissae	113763	S	76	115	191	0.00618
Commensalibacter sp945266285	113767	S	21	94	115	0.00372
Bifidobacterium indicum	42787	S	67	132	199	0.00644
Bifidobacterium polysaccharolyticum	42812	S	11	127	138	0.00447
Bifidobacterium asteroides_J	42755	S	6	144	150	0.00486
Bifidobacterium apousia	42747	S	6	133	139	0.00450
Bifidobacterium asteroides_H	42753	S	4	168	172	0.00557
Bifidobacterium asteroides	42750	S	3	38	41	0.00133
Bifidobacterium sp026537325	42849	S	2	65	67	0.00217
Bifidobacterium choladohabitans	42770	S	2	59	61	0.00198
Bifidobacterium mizhiense	42804	S	1	21	22	0.00071
Bifidobacterium asteroides_F	42751	S	1	17	18	0.00058
Bifidobacterium sp000499285	42832	S	1	18	19	0.00062
Cutibacterium namnetense	48422	S	4	17	21	0.00068
Cutibacterium acnes	48418	S	2	89	91	0.00295
Apibacter sp945280365	89010	S	11	62	73	0.00236
CAMLLW01 sp946481295	63976	S	1	4	5	0.00016
AER2-1 sp016000045	104878	S	2	0	2	0.00006
