#Classification	GQ37_bracken_P.kreport
k__Bacteria	21492151
k__Bacteria|p__Bacteroidetes	12526448
k__Bacteria|p__Firmicutes	7346446
k__Bacteria|p__Actinobacteria	676592
k__Bacteria|p__Tenericutes	23
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Proteobacteria	942019
k__Bacteria|p__Verrucomicrobia	252
k__Bacteria|p__Spirochaetes	248
k__Bacteria|p__Candidatus_Saccharibacteria	91
k__Bacteria|p__Fusobacteria	19
k__Bacteria|p__Synergistetes	5
k__Archaea	308282
k__Archaea|p__Euryarchaeota	308282
k__Eukaryota	14722
k__Eukaryota|k__Viridiplantae	13433
k__Eukaryota|k__Viridiplantae|p__Streptophyta	13433
k__Eukaryota|k__Fungi	1266
k__Eukaryota|k__Fungi|p__Ascomycota	1266
k__Eukaryota|k__Metazoa	23
k__Eukaryota|k__Metazoa|p__Chordata	23
k__Viruses	257225
k__Viruses|k__Heunggongvirae	257169
k__Viruses|k__Heunggongvirae|p__Uroviricota	257169
k__Viruses|k__Sangervirae	47
k__Viruses|k__Sangervirae|p__Phixviricota	47
k__Viruses|k__Shotokuvirae	9
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	9
