#Classification	S-5-DICUND-B_bracken_P.kreport
k__Bacteria	27470
k__Bacteria|p__Proteobacteria	16690
k__Bacteria|p__Actinobacteria	9109
k__Bacteria|p__Cyanobacteria	691
k__Bacteria|p__Firmicutes	224
k__Bacteria|p__Acidobacteria	546
k__Bacteria|p__Bacteroidetes	176
k__Bacteria|p__Planctomycetes	21
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Fusobacteria	3
k__Eukaryota	1138
k__Eukaryota|k__Viridiplantae	632
k__Eukaryota|k__Viridiplantae|p__Streptophyta	632
k__Eukaryota|k__Metazoa	389
k__Eukaryota|k__Metazoa|p__Chordata	389
k__Eukaryota|k__Fungi	114
k__Eukaryota|k__Fungi|p__Ascomycota	91
k__Eukaryota|k__Fungi|p__Basidiomycota	22
k__Eukaryota|p__Euglenozoa	1
