#Classification	NS78_bracken_P.kreport
k__Bacteria	875537
k__Bacteria|p__Firmicutes	756040
k__Bacteria|p__Actinobacteria	114331
k__Bacteria|p__Bacteroidetes	3743
k__Bacteria|p__Proteobacteria	1407
k__Bacteria|p__Spirochaetes	10
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	4
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Viruses	2935
k__Viruses|k__Heunggongvirae	2935
k__Viruses|k__Heunggongvirae|p__Uroviricota	2935
