#Classification	NS86_bracken_P.kreport
k__Bacteria	2166434
k__Bacteria|p__Firmicutes	2108830
k__Bacteria|p__Actinobacteria	47598
k__Bacteria|p__Bacteroidetes	4497
k__Bacteria|p__Proteobacteria	5482
k__Bacteria|p__Spirochaetes	19
k__Bacteria|p__Verrucomicrobia	4
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	328
k__Eukaryota|k__Viridiplantae	327
k__Eukaryota|k__Viridiplantae|p__Streptophyta	327
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Viruses	64
k__Viruses|k__Heunggongvirae	64
k__Viruses|k__Heunggongvirae|p__Uroviricota	64
