#Classification	S-8-POLCOM-B_bracken_P.kreport
k__Bacteria	1138729
k__Bacteria|p__Proteobacteria	758196
k__Bacteria|p__Actinobacteria	253395
k__Bacteria|p__Cyanobacteria	60927
k__Bacteria|p__Firmicutes	6685
k__Bacteria|p__Chloroflexi	59
k__Bacteria|p__Armatimonadetes	32
k__Bacteria|p__Deinococcus-Thermus	56
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Acidobacteria	36335
k__Bacteria|p__Bacteroidetes	15786
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Rhodothermaeota	26
k__Bacteria|p__Gemmatimonadetes	60
k__Bacteria|p__Planctomycetes	5799
k__Bacteria|p__Verrucomicrobia	1166
k__Bacteria|p__Chlamydiae	59
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Candidatus_Saccharibacteria	35
k__Bacteria|p__Spirochaetes	96
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Thermotogae	1
k__Eukaryota	11083
k__Eukaryota|k__Fungi	3430
k__Eukaryota|k__Fungi|p__Ascomycota	2625
k__Eukaryota|k__Fungi|p__Basidiomycota	804
k__Eukaryota|k__Metazoa	3296
k__Eukaryota|k__Metazoa|p__Chordata	3296
k__Eukaryota|k__Viridiplantae	4332
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4225
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	106
k__Eukaryota|p__Cercozoa	12
k__Eukaryota|p__Euglenozoa	9
k__Eukaryota|p__Evosea	3
k__Archaea	15
k__Archaea|p__Euryarchaeota	15
k__Viruses	7
k__Viruses|k__Heunggongvirae	5
k__Viruses|k__Heunggongvirae|p__Uroviricota	5
k__Viruses|k__Pararnavirae	1
k__Viruses|k__Pararnavirae|p__Artverviricota	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
