#Classification	S-4-POLPIL-G_bracken_P.kreport
k__Bacteria	166582
k__Bacteria|p__Proteobacteria	140839
k__Bacteria|p__Actinobacteria	18069
k__Bacteria|p__Cyanobacteria	19
k__Bacteria|p__Tenericutes	410
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Firmicutes	16
k__Bacteria|p__Acidobacteria	5396
k__Bacteria|p__Bacteroidetes	1601
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Planctomycetes	177
k__Bacteria|p__Verrucomicrobia	42
k__Bacteria|p__Chlamydiae	5
k__Eukaryota	68144
k__Eukaryota|k__Viridiplantae	65799
k__Eukaryota|k__Viridiplantae|p__Streptophyta	65797
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Metazoa	1772
k__Eukaryota|k__Metazoa|p__Chordata	1772
k__Eukaryota|k__Fungi	567
k__Eukaryota|k__Fungi|p__Ascomycota	534
k__Eukaryota|k__Fungi|p__Basidiomycota	32
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Euglenozoa	2
