#Classification	S-3-POLJUN-G_bracken_P.kreport
k__Bacteria	43454
k__Bacteria|p__Proteobacteria	41881
k__Bacteria|p__Actinobacteria	1147
k__Bacteria|p__Cyanobacteria	19
k__Bacteria|p__Firmicutes	80
k__Bacteria|p__Acidobacteria	282
k__Bacteria|p__Bacteroidetes	40
k__Bacteria|p__Planctomycetes	2
k__Eukaryota	2043
k__Eukaryota|k__Viridiplantae	1732
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1732
k__Eukaryota|k__Metazoa	301
k__Eukaryota|k__Metazoa|p__Chordata	301
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Fungi|p__Basidiomycota	3
