#Classification	S-3-DICUND-G_bracken_P.kreport
k__Bacteria	604959
k__Bacteria|p__Proteobacteria	415278
k__Bacteria|p__Cyanobacteria	136459
k__Bacteria|p__Actinobacteria	43908
k__Bacteria|p__Firmicutes	2159
k__Bacteria|p__Armatimonadetes	7
k__Bacteria|p__Deinococcus-Thermus	42
k__Bacteria|p__Acidobacteria	5717
k__Bacteria|p__Bacteroidetes	870
k__Bacteria|p__Planctomycetes	476
k__Bacteria|p__Verrucomicrobia	37
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	15915
k__Eukaryota|k__Viridiplantae	14753
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14752
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Metazoa	1025
k__Eukaryota|k__Metazoa|p__Chordata	1025
k__Eukaryota|k__Fungi	132
k__Eukaryota|k__Fungi|p__Ascomycota	104
k__Eukaryota|k__Fungi|p__Basidiomycota	27
k__Eukaryota|p__Euglenozoa	4
