#Classification	GQ19_bracken_O.kreport
k__Bacteria	1693371
k__Bacteria|p__Firmicutes	656022
k__Bacteria|p__Firmicutes|c__Bacilli	612472
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	459104
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	153367
k__Bacteria|p__Firmicutes|c__Negativicutes	37617
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	36626
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	991
k__Bacteria|p__Firmicutes|c__Clostridia	4445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	4445
k__Bacteria|p__Firmicutes|c__Tissierellia	1475
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	1475
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	10
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	10
k__Bacteria|p__Actinobacteria	472570
k__Bacteria|p__Actinobacteria|c__Actinomycetia	472474
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	462303
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	6515
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2450
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1204
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	95
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	87
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	8
k__Bacteria|p__Tenericutes	171
k__Bacteria|p__Tenericutes|c__Mollicutes	171
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	171
k__Bacteria|p__Proteobacteria	441875
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	239409
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	238615
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	727
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	57
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	195385
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	183381
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	12004
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	7071
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	7071
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	3
k__Bacteria|p__Bacteroidetes	98252
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	93125
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	93125
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5127
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	5127
k__Bacteria|p__Fusobacteria	22514
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	22514
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	22514
k__Bacteria|p__Spirochaetes	1367
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1367
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	1367
k__Bacteria|p__Candidatus_Saccharibacteria	550
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	550
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	550
k__Bacteria|p__Synergistetes	47
k__Bacteria|p__Synergistetes|c__Synergistia	47
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	47
k__Eukaryota	5565
k__Eukaryota|k__Metazoa	5366
k__Eukaryota|k__Metazoa|p__Chordata	5366
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	5366
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	5366
k__Eukaryota|k__Fungi	28
k__Eukaryota|k__Fungi|p__Basidiomycota	28
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	28
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	28
k__Eukaryota|k__Viridiplantae	171
k__Eukaryota|k__Viridiplantae|p__Streptophyta	171
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	171
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales	78
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales	12
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	67
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	5
k__Viruses	28
k__Viruses|k__Heunggongvirae	28
k__Viruses|k__Heunggongvirae|p__Uroviricota	16
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	16
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	16
k__Viruses|k__Heunggongvirae|p__Peploviricota	12
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	12
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes|o__Herpesvirales	12
