#Classification	W-1-POLJUN-G_bracken_P.kreport
k__Bacteria	99947
k__Bacteria|p__Proteobacteria	61888
k__Bacteria|p__Actinobacteria	29971
k__Bacteria|p__Firmicutes	185
k__Bacteria|p__Acidobacteria	5855
k__Bacteria|p__Bacteroidetes	2046
k__Eukaryota	2903
k__Eukaryota|k__Viridiplantae	2516
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2516
k__Eukaryota|k__Metazoa	380
k__Eukaryota|k__Metazoa|p__Chordata	380
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|k__Fungi|p__Ascomycota	3
