#Classification	NS58_bracken_P.kreport
k__Bacteria	12189488
k__Bacteria|p__Firmicutes	11057522
k__Bacteria|p__Actinobacteria	1017592
k__Bacteria|p__Bacteroidetes	81334
k__Bacteria|p__Proteobacteria	31950
k__Bacteria|p__Candidatus_Saccharibacteria	482
k__Bacteria|p__Fusobacteria	355
k__Bacteria|p__Spirochaetes	127
k__Bacteria|p__Verrucomicrobia	122
k__Eukaryota	105516
k__Eukaryota|k__Fungi	103532
k__Eukaryota|k__Fungi|p__Ascomycota	103532
k__Eukaryota|k__Viridiplantae	1984
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1984
k__Viruses	45383
k__Viruses|k__Heunggongvirae	45382
k__Viruses|k__Heunggongvirae|p__Uroviricota	45382
k__Viruses|k__Sangervirae	1
k__Viruses|k__Sangervirae|p__Phixviricota	1
