#Classification	S-13-POLJUN-B_bracken_P.kreport
k__Bacteria	26821
k__Bacteria|p__Cyanobacteria	8598
k__Bacteria|p__Actinobacteria	1623
k__Bacteria|p__Proteobacteria	15260
k__Bacteria|p__Acidobacteria	1167
k__Bacteria|p__Bacteroidetes	112
k__Bacteria|p__Planctomycetes	58
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	172
k__Eukaryota|k__Metazoa	100
k__Eukaryota|k__Metazoa|p__Chordata	100
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	70
k__Eukaryota|k__Viridiplantae|p__Streptophyta	70
