#Classification	GQ56_bracken_P.kreport
k__Bacteria	13693150
k__Bacteria|p__Firmicutes	9317677
k__Bacteria|p__Actinobacteria	2353687
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Bacteroidetes	1320136
k__Bacteria|p__Verrucomicrobia	534362
k__Bacteria|p__Proteobacteria	166805
k__Bacteria|p__Synergistetes	268
k__Bacteria|p__Candidatus_Saccharibacteria	111
k__Bacteria|p__Spirochaetes	93
k__Bacteria|p__Fusobacteria	4
k__Archaea	23199
k__Archaea|p__Euryarchaeota	23199
k__Eukaryota	300
k__Eukaryota|k__Fungi	297
k__Eukaryota|k__Fungi|p__Ascomycota	297
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Viruses	702
k__Viruses|k__Heunggongvirae	702
k__Viruses|k__Heunggongvirae|p__Uroviricota	702
