#Classification	S-23-POLJUN-B_bracken_P.kreport
k__Bacteria	28497
k__Bacteria|p__Cyanobacteria	9422
k__Bacteria|p__Actinobacteria	1355
k__Bacteria|p__Proteobacteria	15831
k__Bacteria|p__Acidobacteria	1728
k__Bacteria|p__Bacteroidetes	107
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Planctomycetes	50
k__Eukaryota	381
k__Eukaryota|k__Metazoa	303
k__Eukaryota|k__Metazoa|p__Chordata	303
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	9
k__Eukaryota|k__Viridiplantae	68
k__Eukaryota|k__Viridiplantae|p__Streptophyta	68
