#Classification	S-16-POLJUN-B_bracken_P.kreport
k__Bacteria	78607
k__Bacteria|p__Proteobacteria	52601
k__Bacteria|p__Cyanobacteria	19221
k__Bacteria|p__Actinobacteria	3144
k__Bacteria|p__Firmicutes	34
k__Bacteria|p__Acidobacteria	2712
k__Bacteria|p__Bacteroidetes	852
k__Bacteria|p__Planctomycetes	26
k__Bacteria|p__Verrucomicrobia	13
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	240
k__Eukaryota|k__Metazoa	141
k__Eukaryota|k__Metazoa|p__Chordata	141
k__Eukaryota|k__Fungi	12
k__Eukaryota|k__Fungi|p__Ascomycota	8
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|k__Viridiplantae	86
k__Eukaryota|k__Viridiplantae|p__Streptophyta	86
