#Classification	NS86_bracken_P.kreport
k__Bacteria	8170173
k__Bacteria|p__Firmicutes	7299737
k__Bacteria|p__Actinobacteria	709801
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	126990
k__Bacteria|p__Proteobacteria	32770
k__Bacteria|p__Spirochaetes	636
k__Bacteria|p__Verrucomicrobia	157
k__Bacteria|p__Candidatus_Saccharibacteria	49
k__Bacteria|p__Fusobacteria	28
k__Eukaryota	7583
k__Eukaryota|k__Viridiplantae	7417
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7417
k__Eukaryota|k__Fungi	165
k__Eukaryota|k__Fungi|p__Ascomycota	165
k__Viruses	3105
k__Viruses|k__Heunggongvirae	3105
k__Viruses|k__Heunggongvirae|p__Uroviricota	3105
