#Classification	S-3-POLJUN-B_bracken_C.kreport
k__Bacteria	1903750
k__Bacteria|p__Proteobacteria	1197829
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	698685
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	377387
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	106119
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	15244
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	89
k__Bacteria|p__Proteobacteria|c__Oligoflexia	88
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	208
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	5
k__Bacteria|p__Actinobacteria	478676
k__Bacteria|p__Actinobacteria|c__Actinomycetia	455616
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	9705
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	7241
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1288
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	303
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	4520
k__Bacteria|p__Firmicutes	108644
k__Bacteria|p__Firmicutes|c__Bacilli	107797
k__Bacteria|p__Firmicutes|c__Clostridia	700
k__Bacteria|p__Firmicutes|c__Negativicutes	45
k__Bacteria|p__Firmicutes|c__Limnochordia	12
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	75
k__Bacteria|p__Firmicutes|c__Tissierellia	13
k__Bacteria|p__Deinococcus-Thermus	242
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	242
k__Bacteria|p__Chloroflexi	156
k__Bacteria|p__Chloroflexi|c__Chloroflexia	25
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	14
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	12
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	8
k__Bacteria|p__Chloroflexi|c__Caldilineae	12
k__Bacteria|p__Chloroflexi|c__Tepidiformia	7
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	63
k__Bacteria|p__Chloroflexi|c__Anaerolineae	12
k__Bacteria|p__Armatimonadetes	140
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	103
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	37
k__Bacteria|p__Cyanobacteria	37
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	37
k__Bacteria|p__Tenericutes	25
k__Bacteria|p__Tenericutes|c__Mollicutes	25
k__Bacteria|p__Bacteroidetes	56210
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	44958
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	3329
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2773
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3767
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1364
k__Bacteria|p__Bacteroidetes|c__Saprospiria	16
k__Bacteria|p__Rhodothermaeota	59
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	59
k__Bacteria|p__Chlorobi	28
k__Bacteria|p__Chlorobi|c__Chlorobia	28
k__Bacteria|p__Ignavibacteriae	3
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	3
k__Bacteria|p__Gemmatimonadetes	286
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	286
k__Bacteria|p__Fibrobacteres	5
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	5
k__Bacteria|p__Acidobacteria	44203
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	44116
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	52
k__Bacteria|p__Acidobacteria|c__Blastocatellia	34
k__Bacteria|p__Planctomycetes	13741
k__Bacteria|p__Planctomycetes|c__Planctomycetia	13269
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	470
k__Bacteria|p__Planctomycetes|c__Candidatus_Uabimicrobiia	1
k__Bacteria|p__Verrucomicrobia	2416
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1498
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	756
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	151
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	9
k__Bacteria|p__Kiritimatiellaeota	377
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	5
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	372
k__Bacteria|p__Chlamydiae	81
k__Bacteria|p__Chlamydiae|c__Chlamydiia	81
k__Bacteria|p__Spirochaetes	470
k__Bacteria|p__Spirochaetes|c__Spirochaetia	470
k__Bacteria|p__Synergistetes	33
k__Bacteria|p__Synergistetes|c__Synergistia	33
k__Bacteria|p__Nitrospirae	25
k__Bacteria|p__Nitrospirae|c__Nitrospira	23
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia	2
k__Bacteria|p__Fusobacteria	17
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	17
k__Bacteria|p__Candidatus_Saccharibacteria	13
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	13
k__Bacteria|p__Thermotogae	9
k__Bacteria|p__Thermotogae|c__Thermotogae	9
k__Bacteria|p__Calditrichaeota	4
k__Bacteria|p__Calditrichaeota|c__Calditrichia	4
k__Bacteria|p__Deferribacteres	4
k__Bacteria|p__Deferribacteres|c__Deferribacteres	4
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Atribacterota|c__Atribacteria	1
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Elusimicrobia|c__Endomicrobia	1
k__Eukaryota	33380
k__Eukaryota|k__Fungi	9116
k__Eukaryota|k__Fungi|p__Ascomycota	8275
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2774
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	2423
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	1050
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1649
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	353
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	24
k__Eukaryota|k__Fungi|p__Basidiomycota	840
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	700
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	67
