#Classification	S-9-DICUND-G_bracken_C.kreport
k__Bacteria	211639
k__Bacteria|p__Proteobacteria	157991
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	52320
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	80696
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	24310
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	596
k__Bacteria|p__Proteobacteria|c__Oligoflexia	67
k__Bacteria|p__Actinobacteria	34410
k__Bacteria|p__Actinobacteria|c__Actinomycetia	31076
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2889
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	51
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	392
k__Bacteria|p__Firmicutes	8403
k__Bacteria|p__Firmicutes|c__Bacilli	8403
k__Bacteria|p__Deinococcus-Thermus	9
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	9
k__Bacteria|p__Armatimonadetes	6
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	6
k__Bacteria|p__Acidobacteria	8300
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	8300
k__Bacteria|p__Bacteroidetes	1660
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1572
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	58
k__Bacteria|p__Bacteroidetes|c__Cytophagia	22
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	7
k__Bacteria|p__Planctomycetes	793
k__Bacteria|p__Planctomycetes|c__Planctomycetia	793
k__Bacteria|p__Verrucomicrobia	54
k__Bacteria|p__Verrucomicrobia|c__Opitutae	29
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	25
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Chlamydiae|c__Chlamydiia	8
k__Eukaryota	22949
k__Eukaryota|k__Viridiplantae	20990
k__Eukaryota|k__Viridiplantae|p__Streptophyta	20990
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	20611
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	378
k__Eukaryota|k__Metazoa	1688
k__Eukaryota|k__Metazoa|p__Chordata	1688
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1688
k__Eukaryota|k__Fungi	269
k__Eukaryota|k__Fungi|p__Ascomycota	178
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	75
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	43
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	14
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	44
k__Eukaryota|k__Fungi|p__Basidiomycota	90
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	90
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	1
