#Classification	S-3-DICUND-B_bracken_O.kreport
k__Bacteria	281679
k__Bacteria|p__Proteobacteria	173214
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	83123
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	78385
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	4726
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	11
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	48944
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	14665
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	22987
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1011
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	9965
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	55
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	222
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	40868
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	34157
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	4144
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	664
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	1876
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	22
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	276
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	276
k__Bacteria|p__Proteobacteria|c__Oligoflexia	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	1
k__Bacteria|p__Actinobacteria	100717
k__Bacteria|p__Actinobacteria|c__Actinomycetia	96497
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	5611
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	80658
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	8057
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	749
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	451
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	148
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	101
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	482
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	164
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	42
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	19
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	8
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	2
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	3263
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	3261
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	2
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	787
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	787
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	169
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	169
k__Bacteria|p__Firmicutes	1168
k__Bacteria|p__Firmicutes|c__Bacilli	1039
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	936
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	103
k__Bacteria|p__Firmicutes|c__Clostridia	128
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	128
k__Bacteria|p__Cyanobacteria	1044
k__Bacteria|p__Cyanobacteria|o__Nostocales	1041
k__Bacteria|p__Cyanobacteria|o__Synechococcales	3
k__Bacteria|p__Armatimonadetes	26
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	26
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	26
k__Bacteria|p__Chloroflexi	12
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	12
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	12
k__Bacteria|p__Acidobacteria	3546
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	3546
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	3522
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	24
k__Bacteria|p__Planctomycetes	891
k__Bacteria|p__Planctomycetes|c__Planctomycetia	877
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	500
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	302
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	73
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	1
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	14
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	14
k__Bacteria|p__Verrucomicrobia	126
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	81
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	81
