#Classification	S-6-POLPIL-G_bracken_P.kreport
k__Bacteria	288228
k__Bacteria|p__Proteobacteria	237109
k__Bacteria|p__Actinobacteria	31480
k__Bacteria|p__Cyanobacteria	40
k__Bacteria|p__Firmicutes	2715
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Acidobacteria	13126
k__Bacteria|p__Bacteroidetes	3316
k__Bacteria|p__Planctomycetes	377
k__Bacteria|p__Verrucomicrobia	54
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	48964
k__Eukaryota|k__Viridiplantae	42585
k__Eukaryota|k__Viridiplantae|p__Streptophyta	42580
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	4
k__Eukaryota|k__Metazoa	5808
k__Eukaryota|k__Metazoa|p__Chordata	5808
k__Eukaryota|k__Fungi	565
k__Eukaryota|k__Fungi|p__Ascomycota	483
k__Eukaryota|k__Fungi|p__Basidiomycota	82
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Euglenozoa	2
k__Archaea	2
k__Archaea|p__Thaumarchaeota	2
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
