#Classification	S-26-POLPIL-G_bracken_P.kreport
k__Bacteria	52899
k__Bacteria|p__Proteobacteria	47287
k__Bacteria|p__Actinobacteria	3871
k__Bacteria|p__Cyanobacteria	474
k__Bacteria|p__Firmicutes	658
k__Bacteria|p__Acidobacteria	543
k__Bacteria|p__Bacteroidetes	61
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	2975
k__Eukaryota|k__Viridiplantae	2597
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2597
k__Eukaryota|k__Metazoa	337
k__Eukaryota|k__Metazoa|p__Chordata	337
k__Eukaryota|k__Fungi	39
k__Eukaryota|k__Fungi|p__Ascomycota	35
k__Eukaryota|k__Fungi|p__Basidiomycota	4
