#Classification	S-2-POLJUN-B_bracken_O.kreport
k__Bacteria	2032393
k__Bacteria|p__Proteobacteria	1303181
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	727764
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	535561
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	118855
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	38026
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	26081
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	8170
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	462
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	231
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	137
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	25
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	79
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	123
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	439167
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	426723
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	7380
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1747
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	3316
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	118977
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	36805
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	36934
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	31638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2137
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1644
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	438
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	441
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	3715
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	438
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2018
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	250
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1605
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	103
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	88
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	123
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	141
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	27
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	16533
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	14714
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	834
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	525
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	233
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	41
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	14
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	115
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	55
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	117
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	114
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	3
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	468
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	468
k__Bacteria|p__Proteobacteria|c__Oligoflexia	95
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	84
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	9
