#Classification	GQ18_bracken_P.kreport
k__Bacteria	15117558
k__Bacteria|p__Firmicutes	10888869
k__Bacteria|p__Actinobacteria	2369875
k__Bacteria|p__Tenericutes	96
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	842884
k__Bacteria|p__Proteobacteria	628646
k__Bacteria|p__Fusobacteria	374792
k__Bacteria|p__Candidatus_Saccharibacteria	12114
k__Bacteria|p__Spirochaetes	264
k__Bacteria|p__Synergistetes	14
k__Eukaryota	2607
k__Eukaryota|k__Metazoa	2299
k__Eukaryota|k__Metazoa|p__Chordata	2299
k__Eukaryota|k__Fungi	181
k__Eukaryota|k__Fungi|p__Ascomycota	160
k__Eukaryota|k__Fungi|p__Basidiomycota	20
k__Eukaryota|k__Viridiplantae	126
k__Eukaryota|k__Viridiplantae|p__Streptophyta	126
k__Viruses	159
k__Viruses|k__Heunggongvirae	159
k__Viruses|k__Heunggongvirae|p__Uroviricota	158
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
