#Classification	GQ26_bracken_P.kreport
k__Bacteria	401298
k__Bacteria|p__Firmicutes	378674
k__Bacteria|p__Actinobacteria	14700
k__Bacteria|p__Bacteroidetes	6035
k__Bacteria|p__Fusobacteria	1282
k__Bacteria|p__Proteobacteria	546
k__Bacteria|p__Spirochaetes	41
k__Bacteria|p__Candidatus_Saccharibacteria	17
k__Eukaryota	2201
k__Eukaryota|k__Metazoa	2041
k__Eukaryota|k__Metazoa|p__Chordata	2041
k__Eukaryota|k__Fungi	51
k__Eukaryota|k__Fungi|p__Ascomycota	51
k__Eukaryota|k__Viridiplantae	108
k__Eukaryota|k__Viridiplantae|p__Streptophyta	108
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
