#Classification	GQ16_bracken_P.kreport
k__Bacteria	2013367
k__Bacteria|p__Firmicutes	971694
k__Bacteria|p__Actinobacteria	406697
k__Bacteria|p__Tenericutes	167
k__Bacteria|p__Proteobacteria	446229
k__Bacteria|p__Bacteroidetes	153194
k__Bacteria|p__Fusobacteria	32072
k__Bacteria|p__Candidatus_Saccharibacteria	1618
k__Bacteria|p__Spirochaetes	1494
k__Bacteria|p__Synergistetes	198
k__Eukaryota	8283
k__Eukaryota|k__Metazoa	7518
k__Eukaryota|k__Metazoa|p__Chordata	7518
k__Eukaryota|k__Fungi	46
k__Eukaryota|k__Fungi|p__Basidiomycota	44
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	710
k__Eukaryota|k__Viridiplantae|p__Streptophyta	710
k__Eukaryota|p__Apicomplexa	8
k__Viruses	32
k__Viruses|k__Heunggongvirae	31
k__Viruses|k__Heunggongvirae|p__Uroviricota	25
k__Viruses|k__Heunggongvirae|p__Peploviricota	6
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
