#Classification	SRR5091596_bracken_P.kreport
k__Bacteria	18512305
k__Bacteria|p__Firmicutes	9823179
k__Bacteria|p__Actinobacteria	75510
k__Bacteria|p__Cyanobacteria	21
k__Bacteria|p__Deinococcus-Thermus	10
k__Bacteria|p__Bacteroidetes	8427895
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Proteobacteria	123944
k__Bacteria|p__Fusobacteria	34596
k__Bacteria|p__Verrucomicrobia	26698
k__Bacteria|p__Chlamydiae	4
k__Bacteria|p__Spirochaetes	399
k__Bacteria|p__Candidatus_Saccharibacteria	18
k__Bacteria|p__Synergistetes	14
k__Bacteria|p__Thermotogae	9
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	8843
k__Eukaryota|k__Viridiplantae	5390
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5390
k__Eukaryota|k__Fungi	3453
k__Eukaryota|k__Fungi|p__Ascomycota	3303
k__Eukaryota|k__Fungi|p__Basidiomycota	150
k__Archaea	149
k__Archaea|p__Euryarchaeota	132
k__Archaea|p__Candidatus_Thermoplasmatota	17
k__Viruses	71877
k__Viruses|k__Heunggongvirae	71877
k__Viruses|k__Heunggongvirae|p__Uroviricota	71877
