feature	Agathobaculum	Akkermansia	Alistipes	Anaerobutyricum	Anaerostipes	Bacteroides	Bifidobacterium	Blautia	Brotolimicola	Catenibacterium	Cibionibacter	Clostridiaceae.unclassified	Clostridium	Collinsella	Coprococcus	Dialister	Dorea	Eubacteriales.unclassified	Eubacterium	Faecalibacillus	Faecalibacterium	Faecalicatena	Fusicatenibacter	GGB3109	GGB3256	GGB3277	GGB3304	GGB3740	GGB51647	GGB9708	GGB9715	Gemmiger	Intestinibacter	Lachnospira	Lachnospiraceae.unclassified	Ligilactobacillus	Mediterraneibacter	Oliverpabstia	Oscillibacter	Oscillospiraceae.unclassified	Parabacteroides	Phascolarctobacterium	Phocaeicola	Romboutsia	Roseburia	Ruminococcus	Ruthenibacterium	Segatella	Streptococcus	Vescimonas
NS10	0.0166666666666667	0	0	0.0166666666666667	0.0166666666666667	0	0.0666666666666667	0.116666666666667	0	0	0	0	0.05	0.0166666666666667	0.0666666666666667	0.0333333333333333	0.166666666666667	0	0.05	0	0.0333333333333333	0	0.05	0	0	0	0	0	0.0833333333333333	0	0	0.0166666666666667	0	0	0.0166666666666667	0	0.0333333333333333	0	0.0166666666666667	0.116666666666667	0	0	0	0.0166666666666667	0	0	0	0	0	0
NS11	0	0	0.0161290322580645	0	0	0.145161290322581	0.0483870967741935	0.0161290322580645	0	0.0161290322580645	0	0.0483870967741935	0	0	0	0	0	0	0	0	0.0161290322580645	0	0	0	0	0	0.0645161290322581	0	0	0	0	0.0161290322580645	0	0	0.0161290322580645	0	0.0161290322580645	0	0.0161290322580645	0.0483870967741935	0.0645161290322581	0	0.0967741935483871	0	0	0	0	0.354838709677419	0	0
NS13	0	0	0	0.0447761194029851	0.0895522388059701	0.0447761194029851	0	0.328358208955224	0.0149253731343284	0.104477611940299	0	0	0	0	0.0149253731343284	0	0.0895522388059701	0	0.0149253731343284	0	0.164179104477612	0	0.0149253731343284	0	0	0	0	0	0	0	0	0.0298507462686567	0	0	0	0	0	0	0	0.0149253731343284	0	0	0.0149253731343284	0	0.0149253731343284	0	0	0	0	0
NS21	0	0	0	0	0.0655737704918033	0.114754098360656	0	0	0	0	0.0163934426229508	0	0.114754098360656	0	0.0163934426229508	0	0	0	0	0	0.295081967213115	0	0	0	0	0	0	0	0	0	0	0.0491803278688525	0	0	0	0	0	0	0	0.0163934426229508	0	0	0.131147540983607	0	0.163934426229508	0	0	0	0.0163934426229508	0
NS25	0	0	0.0344827586206897	0	0	0.275862068965517	0	0.0344827586206897	0	0	0	0.0172413793103448	0.0689655172413793	0	0	0	0	0.0172413793103448	0	0	0.172413793103448	0	0	0	0	0	0	0	0	0	0	0.0172413793103448	0	0.0172413793103448	0.0517241379310345	0	0	0	0	0.0172413793103448	0	0.0689655172413793	0.206896551724138	0	0	0	0	0	0	0
NS27	0	0	0.0317460317460317	0.0158730158730159	0	0.0476190476190476	0.222222222222222	0.0317460317460317	0	0.0317460317460317	0	0.0158730158730159	0	0	0	0	0.0158730158730159	0	0	0	0.19047619047619	0	0.0158730158730159	0	0	0	0	0	0	0	0	0	0.0158730158730159	0	0.0952380952380952	0	0.0317460317460317	0	0	0.0634920634920635	0.0317460317460317	0	0	0	0.0793650793650794	0.0634920634920635	0	0	0	0
NS28	0	0.0943396226415094	0	0	0	0.0377358490566038	0.0377358490566038	0.0188679245283019	0	0	0	0.0377358490566038	0.0188679245283019	0	0.0188679245283019	0.0188679245283019	0	0	0	0	0.132075471698113	0	0	0	0	0	0	0	0	0.0188679245283019	0	0	0	0	0	0	0	0	0	0.0188679245283019	0	0.0188679245283019	0.0377358490566038	0	0	0	0	0.471698113207547	0	0.0188679245283019
NS29	0	0	0	0	0.0192307692307692	0.0192307692307692	0.346153846153846	0.115384615384615	0	0	0.0192307692307692	0	0	0	0	0.0384615384615385	0	0	0	0	0.0769230769230769	0	0	0	0	0	0	0	0	0	0	0.0192307692307692	0	0.0192307692307692	0	0	0	0.0192307692307692	0	0	0	0	0.0769230769230769	0.0192307692307692	0.0384615384615385	0.173076923076923	0	0	0	0
NS30	0	0	0	0	0.0461538461538462	0.0307692307692308	0.0923076923076923	0.138461538461538	0	0	0	0.0307692307692308	0.0307692307692308	0	0	0	0.0153846153846154	0	0.0153846153846154	0	0.123076923076923	0	0.0461538461538462	0.0153846153846154	0	0	0	0	0	0	0	0	0	0.0153846153846154	0.153846153846154	0	0.0461538461538462	0	0	0.0153846153846154	0	0	0	0	0.184615384615385	0	0	0	0	0
NS32	0.0178571428571429	0	0	0	0	0.0357142857142857	0.0178571428571429	0.0357142857142857	0.0178571428571429	0	0	0	0	0	0.0178571428571429	0.107142857142857	0	0	0	0	0.142857142857143	0.0357142857142857	0.0178571428571429	0	0	0	0.0535714285714286	0	0.214285714285714	0.0178571428571429	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0.0178571428571429	0	0.178571428571429	0	0
NS34	0	0.0204081632653061	0.0408163265306122	0.0204081632653061	0	0.714285714285714	0	0	0	0	0.0204081632653061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204081632653061	0	0	0	0	0	0	0.0408163265306122	0	0	0.0408163265306122	0.0408163265306122	0	0	0	0	0	0	0	0	0.0408163265306122
NS36	0	0.232142857142857	0.0892857142857143	0	0	0.125	0	0.0357142857142857	0	0	0.0535714285714286	0	0	0.0178571428571429	0	0	0	0	0	0	0	0	0.0535714285714286	0	0	0.0357142857142857	0	0	0	0	0.0357142857142857	0.0178571428571429	0	0.0178571428571429	0	0	0	0	0.0178571428571429	0.0714285714285714	0.0357142857142857	0.0357142857142857	0.0535714285714286	0	0	0.0535714285714286	0.0178571428571429	0	0	0
NS38	0	0.120689655172414	0.103448275862069	0	0	0.120689655172414	0.241379310344828	0.0172413793103448	0.0172413793103448	0	0.0344827586206897	0	0	0	0.0344827586206897	0.0344827586206897	0	0	0	0	0.0517241379310345	0	0	0	0	0	0.0517241379310345	0	0	0	0	0	0	0.0172413793103448	0.0344827586206897	0.0172413793103448	0	0	0	0.0172413793103448	0.0172413793103448	0	0.0172413793103448	0	0	0.0517241379310345	0	0	0	0
NS39	0	0	0.0178571428571429	0	0.0178571428571429	0.0178571428571429	0.0892857142857143	0.0178571428571429	0	0	0.0892857142857143	0.0178571428571429	0.0357142857142857	0	0	0.0535714285714286	0	0	0	0	0.375	0	0	0	0.0178571428571429	0.0178571428571429	0	0.0178571428571429	0	0	0	0.0892857142857143	0	0	0.0178571428571429	0	0	0.0178571428571429	0	0.0178571428571429	0	0	0.0535714285714286	0	0	0.0178571428571429	0	0	0	0
NS4	0	0	0.0158730158730159	0	0.0476190476190476	0.0476190476190476	0.126984126984127	0.0476190476190476	0	0	0	0.0158730158730159	0.0317460317460317	0	0	0	0	0	0	0.0158730158730159	0.0952380952380952	0	0.0158730158730159	0	0	0	0	0	0	0	0	0	0	0.158730158730159	0.0952380952380952	0	0	0	0	0	0.0317460317460317	0	0.142857142857143	0	0.0793650793650794	0.0158730158730159	0	0	0.0158730158730159	0
NS40	0	0	0.0363636363636364	0	0	0	0.0545454545454545	0.0545454545454545	0	0	0.0727272727272727	0	0	0	0.0363636363636364	0	0.0363636363636364	0	0	0	0.0909090909090909	0	0	0	0	0	0.309090909090909	0	0	0.0181818181818182	0	0	0	0	0.0727272727272727	0	0	0	0.0181818181818182	0.0545454545454545	0.0181818181818182	0.0181818181818182	0.0181818181818182	0	0.0727272727272727	0	0	0	0	0.0181818181818182
NS41	0	0	0.0307692307692308	0	0.0153846153846154	0.0615384615384615	0	0	0	0.0307692307692308	0.0153846153846154	0	0	0	0.0307692307692308	0	0.0307692307692308	0	0	0	0.107692307692308	0	0	0	0.138461538461538	0	0	0	0	0	0	0	0	0	0.138461538461538	0.0153846153846154	0	0	0.0153846153846154	0	0.0153846153846154	0	0	0	0.0307692307692308	0	0	0.292307692307692	0	0.0307692307692308
NS46	0	0.0169491525423729	0	0	0.0338983050847458	0.101694915254237	0.0169491525423729	0.0677966101694915	0	0	0.203389830508475	0	0	0	0.0338983050847458	0	0.0508474576271186	0	0	0	0.0169491525423729	0	0.0169491525423729	0	0	0.11864406779661	0.0508474576271186	0	0.0338983050847458	0	0.0169491525423729	0	0	0	0.0338983050847458	0	0.0338983050847458	0	0	0.0169491525423729	0	0	0.0338983050847458	0	0	0.0847457627118644	0.0169491525423729	0	0	0
NS51	0	0	0	0	0.0483870967741935	0	0.112903225806452	0.0967741935483871	0	0	0	0.0161290322580645	0.0161290322580645	0.0645161290322581	0	0	0	0	0	0	0.161290322580645	0	0.0806451612903226	0	0	0	0	0	0.032258064516129	0	0	0.0645161290322581	0	0	0.0806451612903226	0	0.0483870967741935	0.0483870967741935	0	0.0161290322580645	0	0	0.0161290322580645	0.032258064516129	0.0161290322580645	0.0483870967741935	0	0	0	0
NS55	0	0	0	0	0.0149253731343284	0.0149253731343284	0.0597014925373134	0.134328358208955	0	0	0.0149253731343284	0	0	0	0.0149253731343284	0	0.0298507462686567	0	0.0149253731343284	0.0895522388059701	0.0895522388059701	0.0149253731343284	0.0298507462686567	0.0149253731343284	0	0	0	0	0	0	0	0	0	0	0.373134328358209	0	0.0149253731343284	0.0149253731343284	0	0.0149253731343284	0	0	0	0	0	0.0447761194029851	0	0	0	0
NS58	0	0	0	0	0.0447761194029851	0	0.0298507462686567	0.328358208955224	0	0	0	0	0	0	0	0	0.0447761194029851	0.0447761194029851	0	0.0447761194029851	0.0149253731343284	0	0.104477611940299	0	0	0	0	0	0	0	0	0.0149253731343284	0	0	0.283582089552239	0	0	0	0	0	0	0	0	0	0.0447761194029851	0	0	0	0	0
NS6	0	0	0.0588235294117647	0.0147058823529412	0.0882352941176471	0.0588235294117647	0	0.132352941176471	0.0147058823529412	0	0	0	0.0147058823529412	0	0	0	0.0441176470588235	0	0.0294117647058824	0	0.0294117647058824	0	0.0441176470588235	0	0	0.0441176470588235	0	0.0147058823529412	0	0	0	0.0147058823529412	0	0	0.102941176470588	0	0	0.0441176470588235	0.0147058823529412	0.0441176470588235	0.0147058823529412	0	0.161764705882353	0	0.0147058823529412	0	0	0	0	0
NS62	0	0	0.0298507462686567	0.0298507462686567	0.134328358208955	0	0.0298507462686567	0.194029850746269	0	0	0.104477611940299	0	0	0	0.0447761194029851	0	0.0298507462686567	0	0	0	0	0	0.0149253731343284	0.0149253731343284	0.0447761194029851	0	0	0	0	0	0	0	0	0	0.134328358208955	0	0	0.0149253731343284	0	0.0149253731343284	0	0	0	0.0149253731343284	0	0.149253731343284	0	0	0	0
NS67	0	0.0151515151515152	0	0	0	0	0.0454545454545455	0.0151515151515152	0	0	0	0	0.0151515151515152	0	0	0.166666666666667	0.0454545454545455	0	0	0	0.0454545454545455	0	0	0.0151515151515152	0.0303030303030303	0	0.106060606060606	0	0	0.0151515151515152	0.0454545454545455	0.0606060606060606	0	0.0151515151515152	0.0303030303030303	0.0151515151515152	0.121212121212121	0	0	0.0454545454545455	0	0	0	0.0151515151515152	0.0151515151515152	0.0757575757575758	0.0151515151515152	0.0303030303030303	0	0
NS7	0.0149253731343284	0	0.0149253731343284	0.0149253731343284	0	0	0.164179104477612	0.134328358208955	0	0	0	0	0.0298507462686567	0.0149253731343284	0	0	0.0597014925373134	0	0	0	0.164179104477612	0	0	0	0	0	0	0.0298507462686567	0.0298507462686567	0	0	0	0.0298507462686567	0	0	0.104477611940299	0.0149253731343284	0	0.0149253731343284	0.0149253731343284	0	0	0.0149253731343284	0.0597014925373134	0.0149253731343284	0	0	0.0447761194029851	0.0149253731343284	0
NS70	0.0147058823529412	0	0	0.0294117647058824	0.0147058823529412	0	0.0588235294117647	0.205882352941176	0	0	0.0147058823529412	0	0	0.0294117647058824	0.0147058823529412	0	0.0147058823529412	0	0	0.0147058823529412	0.0882352941176471	0	0	0	0	0	0	0.0147058823529412	0.102941176470588	0	0	0	0	0.0147058823529412	0.205882352941176	0	0	0.0294117647058824	0.0147058823529412	0	0	0	0.0147058823529412	0	0	0	0	0.102941176470588	0	0
NS71	0	0	0	0.037037037037037	0.240740740740741	0	0.12962962962963	0.0555555555555556	0	0.037037037037037	0	0.0740740740740741	0.037037037037037	0.0555555555555556	0	0	0.0185185185185185	0	0	0	0	0.0185185185185185	0.037037037037037	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0	0	0.0185185185185185	0	0	0.037037037037037	0	0.0185185185185185	0	0.037037037037037	0	0.037037037037037	0.0185185185185185	0	0.0555555555555556	0
