#Classification	SRR20002370_bracken_C.kreport
k__Bacteria	2843412
k__Bacteria|p__Proteobacteria	2107680
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1829557
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	213020
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	47013
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	17543
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	421
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	14
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	97
k__Bacteria|p__Proteobacteria|c__Oligoflexia	13
k__Bacteria|p__Deinococcus-Thermus	398899
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	398899
k__Bacteria|p__Firmicutes	197804
k__Bacteria|p__Firmicutes|c__Bacilli	134867
k__Bacteria|p__Firmicutes|c__Clostridia	61125
k__Bacteria|p__Firmicutes|c__Negativicutes	876
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	911
k__Bacteria|p__Firmicutes|c__Tissierellia	22
k__Bacteria|p__Actinobacteria	76775
k__Bacteria|p__Actinobacteria|c__Actinomycetia	61661
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	15067
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	19
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	18
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	9
k__Bacteria|p__Chloroflexi	205
k__Bacteria|p__Chloroflexi|c__Chloroflexia	96
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	9
k__Bacteria|p__Chloroflexi|c__Caldilineae	8
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	91
k__Bacteria|p__Bacteroidetes	58685
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	58174
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	441
k__Bacteria|p__Bacteroidetes|c__Cytophagia	67
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2
k__Bacteria|p__Chlorobi	10
k__Bacteria|p__Chlorobi|c__Chlorobia	10
k__Bacteria|p__Verrucomicrobia	3001
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3001
k__Bacteria|p__Planctomycetes	63
k__Bacteria|p__Planctomycetes|c__Planctomycetia	63
k__Bacteria|p__Chlamydiae	11
k__Bacteria|p__Chlamydiae|c__Chlamydiia	11
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	1
k__Bacteria|p__Acidobacteria	98
k__Bacteria|p__Acidobacteria|c__Blastocatellia	93
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	5
k__Bacteria|p__Synergistetes	74
k__Bacteria|p__Synergistetes|c__Synergistia	74
k__Bacteria|p__Aquificae	59
k__Bacteria|p__Aquificae|c__Aquificae	59
k__Bacteria|p__Fusobacteria	40
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	40
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1
k__Eukaryota	4637
k__Eukaryota|k__Fungi	2423
k__Eukaryota|k__Fungi|p__Basidiomycota	2193
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	1239
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	953
k__Eukaryota|k__Fungi|p__Ascomycota	230
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	193
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	35
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2
k__Eukaryota|k__Metazoa	150
k__Eukaryota|k__Metazoa|p__Chordata	150
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	150
k__Eukaryota|k__Viridiplantae	2025
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2025
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2025
k__Eukaryota|p__Apicomplexa	38
k__Eukaryota|p__Apicomplexa|c__Conoidasida	38
k__Archaea	8
k__Archaea|p__Euryarchaeota	8
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	8
k__Viruses	486
k__Viruses|k__Heunggongvirae	469
k__Viruses|k__Heunggongvirae|p__Uroviricota	469
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	469
k__Viruses|k__Bamfordvirae	11
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	11
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	11
k__Viruses|k__Helvetiavirae	4
k__Viruses|k__Helvetiavirae|p__Dividoviricota	4
k__Viruses|k__Helvetiavirae|p__Dividoviricota|c__Laserviricetes	4
k__Viruses|k__Shotokuvirae	2
k__Viruses|k__Shotokuvirae|p__Cossaviricota	2
k__Viruses|k__Shotokuvirae|p__Cossaviricota|c__Papovaviricetes	2
