#Classification	S-10-POLJUN-G_bracken_P.kreport
k__Bacteria	103296
k__Bacteria|p__Proteobacteria	92719
k__Bacteria|p__Cyanobacteria	8897
k__Bacteria|p__Actinobacteria	989
k__Bacteria|p__Firmicutes	124
k__Bacteria|p__Acidobacteria	379
k__Bacteria|p__Bacteroidetes	183
k__Bacteria|p__Planctomycetes	3
k__Eukaryota	2192
k__Eukaryota|k__Viridiplantae	1827
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1827
k__Eukaryota|k__Metazoa	359
k__Eukaryota|k__Metazoa|p__Chordata	359
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	6
