#Classification	NS71_bracken_P.kreport
k__Bacteria	1509724
k__Bacteria|p__Firmicutes	941887
k__Bacteria|p__Actinobacteria	363490
k__Bacteria|p__Verrucomicrobia	108753
k__Bacteria|p__Bacteroidetes	94516
k__Bacteria|p__Proteobacteria	1074
k__Bacteria|p__Spirochaetes	3
k__Archaea	8643
k__Archaea|p__Euryarchaeota	8643
k__Eukaryota	5129
k__Eukaryota|k__Fungi	4972
k__Eukaryota|k__Fungi|p__Ascomycota	4972
k__Eukaryota|k__Viridiplantae	157
k__Eukaryota|k__Viridiplantae|p__Streptophyta	157
k__Viruses	347
k__Viruses|k__Heunggongvirae	347
k__Viruses|k__Heunggongvirae|p__Uroviricota	347
