#Classification	NS71_bracken_F.kreport
k__Bacteria	1509659
k__Bacteria|p__Firmicutes	941890
k__Bacteria|p__Firmicutes|c__Clostridia	827758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	827758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	629500
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	158636
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	16127
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	4928
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	2598
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	15736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	230
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	90275
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	90275
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	66654
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	23620
k__Bacteria|p__Firmicutes|c__Bacilli	21075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	21073
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	8807
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	585
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	11203
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	231
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	245
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2
k__Bacteria|p__Firmicutes|c__Negativicutes	2628
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2628
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2628
k__Bacteria|p__Firmicutes|c__Tissierellia	152
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	152
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	152
k__Bacteria|p__Actinobacteria	363490
k__Bacteria|p__Actinobacteria|c__Actinomycetia	316764
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	315960
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	315960
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	714
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	714
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	37
