#Classification	S-6-DICUND-G_bracken_P.kreport
k__Bacteria	35770
k__Bacteria|p__Cyanobacteria	16432
k__Bacteria|p__Actinobacteria	9053
k__Bacteria|p__Firmicutes	12
k__Bacteria|p__Deinococcus-Thermus	38
k__Bacteria|p__Proteobacteria	8924
k__Bacteria|p__Acidobacteria	1197
k__Bacteria|p__Bacteroidetes	90
k__Bacteria|p__Planctomycetes	21
k__Eukaryota	3867
k__Eukaryota|k__Viridiplantae	2231
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2231
k__Eukaryota|k__Metazoa	1284
k__Eukaryota|k__Metazoa|p__Chordata	1284
k__Eukaryota|k__Fungi	350
k__Eukaryota|k__Fungi|p__Ascomycota	350
k__Eukaryota|p__Euglenozoa	1
