#Classification	S-3-POLPIL-B_bracken_O.kreport
k__Bacteria	1194598
k__Bacteria|p__Proteobacteria	612856
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	362627
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	195767
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	66714
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	73351
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	19190
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6984
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	298
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	117
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	63
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	11
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	69
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	180024
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	173511
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4346
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	808
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1357
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	66451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	25908
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	14697
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	18866
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	871
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1608
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	230
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	268
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	65
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	44
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2009
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	231
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	56
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	43
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	47
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3497
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2368
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	355
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	374
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	176
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	19
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	152
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	46
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	3
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	93
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	91
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia	61
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	55
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	2
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	53
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	53
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	43
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	43
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	3
k__Bacteria|p__Actinobacteria	197428
k__Bacteria|p__Actinobacteria|c__Actinomycetia	188981
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	95688
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	22165
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	19631
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	12122
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	8611
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	5667
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	9472
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	3740
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	3739
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	1948
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1548
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	471
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	642
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	322
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	369
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	361
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	2365
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	45
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	37
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	19
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	10
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	5016
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	4794
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	222
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2085
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2085
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	739
