#Classification	S-11-POLJUN-B_bracken_P.kreport
k__Bacteria	35585
k__Bacteria|p__Proteobacteria	26463
k__Bacteria|p__Cyanobacteria	5903
k__Bacteria|p__Actinobacteria	1724
k__Bacteria|p__Acidobacteria	1254
k__Bacteria|p__Bacteroidetes	213
k__Bacteria|p__Planctomycetes	18
k__Bacteria|p__Verrucomicrobia	7
k__Eukaryota	178
k__Eukaryota|k__Viridiplantae	145
k__Eukaryota|k__Viridiplantae|p__Streptophyta	145
k__Eukaryota|k__Fungi	32
k__Eukaryota|k__Fungi|p__Basidiomycota	21
k__Eukaryota|k__Fungi|p__Ascomycota	11
