#Classification	S-2-POLCOM-B_bracken_P.kreport
k__Bacteria	64106
k__Bacteria|p__Proteobacteria	55500
k__Bacteria|p__Actinobacteria	3548
k__Bacteria|p__Cyanobacteria	908
k__Bacteria|p__Firmicutes	501
k__Bacteria|p__Acidobacteria	2573
k__Bacteria|p__Bacteroidetes	1027
k__Bacteria|p__Planctomycetes	44
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	608
k__Eukaryota|k__Metazoa	341
k__Eukaryota|k__Metazoa|p__Chordata	341
k__Eukaryota|k__Fungi	14
k__Eukaryota|k__Fungi|p__Ascomycota	12
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Viridiplantae	252
k__Eukaryota|k__Viridiplantae|p__Streptophyta	252
k__Eukaryota|p__Euglenozoa	1
