#Classification	S-20-POLPIL-G_bracken_C.kreport
k__Eukaryota	232435
k__Eukaryota|k__Viridiplantae	203696
k__Eukaryota|k__Viridiplantae|p__Streptophyta	203594
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	127695
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	75899
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	101
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	84
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	17
k__Eukaryota|k__Metazoa	25363
k__Eukaryota|k__Metazoa|p__Chordata	25363
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	25363
k__Eukaryota|k__Fungi	3280
k__Eukaryota|k__Fungi|p__Ascomycota	3110
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1002
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	453
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	572
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	808
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	273
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota	170
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	91
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	37
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	33
k__Eukaryota|p__Bacillariophyta	36
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	36
k__Eukaryota|p__Cercozoa	26
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	26
k__Eukaryota|p__Apicomplexa	12
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	12
k__Eukaryota|p__Euglenozoa	9
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	9
k__Eukaryota|c__Cryptophyceae	10
k__Bacteria	194683
k__Bacteria|p__Proteobacteria	153913
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	108528
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	36915
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7869
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	494
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	7
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	94
k__Bacteria|p__Proteobacteria|c__Oligoflexia	3
k__Bacteria|p__Actinobacteria	26082
k__Bacteria|p__Actinobacteria|c__Actinomycetia	20958
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	298
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	185
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	45
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	16
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	4578
k__Bacteria|p__Firmicutes	1621
k__Bacteria|p__Firmicutes|c__Bacilli	1429
k__Bacteria|p__Firmicutes|c__Clostridia	126
k__Bacteria|p__Firmicutes|c__Negativicutes	40
k__Bacteria|p__Firmicutes|c__Tissierellia	1
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	23
k__Bacteria|p__Deinococcus-Thermus	40
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	40
k__Bacteria|p__Chloroflexi	23
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	15
