#Classification	S-20-POLPIL-G_bracken_P.kreport
k__Eukaryota	232435
k__Eukaryota|k__Viridiplantae	203696
k__Eukaryota|k__Viridiplantae|p__Streptophyta	203594
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	101
k__Eukaryota|k__Metazoa	25363
k__Eukaryota|k__Metazoa|p__Chordata	25363
k__Eukaryota|k__Fungi	3280
k__Eukaryota|k__Fungi|p__Ascomycota	3110
k__Eukaryota|k__Fungi|p__Basidiomycota	170
k__Eukaryota|p__Bacillariophyta	36
k__Eukaryota|p__Cercozoa	26
k__Eukaryota|p__Apicomplexa	12
k__Eukaryota|p__Euglenozoa	19
k__Bacteria	194764
k__Bacteria|p__Proteobacteria	153913
k__Bacteria|p__Actinobacteria	21568
k__Bacteria|p__Cyanobacteria	4538
k__Bacteria|p__Firmicutes	1621
k__Bacteria|p__Deinococcus-Thermus	40
k__Bacteria|p__Chloroflexi	23
k__Bacteria|p__Armatimonadetes	10
k__Bacteria|p__Tenericutes	9
k__Bacteria|p__Acidobacteria	9900
k__Bacteria|p__Bacteroidetes	2281
k__Bacteria|p__Chlorobi	5
k__Bacteria|p__Rhodothermaeota	19
k__Bacteria|p__Gemmatimonadetes	14
k__Bacteria|p__Planctomycetes	529
k__Bacteria|p__Verrucomicrobia	84
k__Bacteria|p__Chlamydiae	11
k__Bacteria|p__Kiritimatiellaeota	54
k__Bacteria|p__Spirochaetes	89
k__Bacteria|p__Thermotogae	11
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Nitrospirae	4
k__Bacteria|p__Synergistetes	15
k__Bacteria|p__Fusobacteria	10
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Elusimicrobia	1
k__Archaea	33
k__Archaea|p__Euryarchaeota	31
k__Archaea|p__Thaumarchaeota	2
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
