#Classification	S-5-POLCOM-B_bracken_O.kreport
k__Bacteria	1418306
k__Bacteria|p__Proteobacteria	1057197
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	480996
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	474857
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3674
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1140
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1324
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	428181
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	266241
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	89165
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	34838
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	30057
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	7038
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	183
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	377
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	88
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	89
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	87
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	140981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	40984
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	54180
