#Classification	S-5-POLCOM-B_bracken_C.kreport
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1256
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	304
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota	856
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	763
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	17
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	38
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	37
k__Eukaryota|k__Viridiplantae	9685
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9431
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	6710
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2721
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	253
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	220
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	32
k__Eukaryota|p__Apicomplexa	48
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	41
k__Eukaryota|p__Apicomplexa|c__Conoidasida	6
k__Eukaryota|p__Bacillariophyta	5
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	5
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	1
k__Eukaryota|p__Euglenozoa	41
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	41
k__Eukaryota|p__Evosea	11
k__Eukaryota|p__Evosea|c__Eumycetozoa	11
k__Eukaryota|c__Cryptophyceae	7
k__Eukaryota|p__Rhodophyta	1
k__Eukaryota|p__Rhodophyta|c__Bangiophyceae	1
k__Archaea	150
k__Archaea|p__Euryarchaeota	148
k__Archaea|p__Euryarchaeota|c__Halobacteria	131
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	8
k__Archaea|p__Euryarchaeota|c__Methanobacteria	6
k__Archaea|p__Euryarchaeota|c__Thermococci	2
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	1
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Crenarchaeota|c__Thermoprotei	2
k__Viruses	81
k__Viruses|k__Heunggongvirae	44
k__Viruses|k__Heunggongvirae|p__Uroviricota	43
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	43
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	1
k__Viruses|k__Bamfordvirae	37
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	37
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	37
