#Classification	S-13-POLJUN-G_bracken_P.kreport
k__Bacteria	161995
k__Bacteria|p__Proteobacteria	135948
k__Bacteria|p__Cyanobacteria	14941
k__Bacteria|p__Actinobacteria	8122
k__Bacteria|p__Firmicutes	270
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Bacteroidetes	1313
k__Bacteria|p__Acidobacteria	1309
k__Bacteria|p__Planctomycetes	79
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Spirochaetes	4
k__Eukaryota	44869
k__Eukaryota|k__Viridiplantae	42593
k__Eukaryota|k__Viridiplantae|p__Streptophyta	42593
k__Eukaryota|k__Metazoa	2146
k__Eukaryota|k__Metazoa|p__Chordata	2146
k__Eukaryota|k__Fungi	128
k__Eukaryota|k__Fungi|p__Ascomycota	102
k__Eukaryota|k__Fungi|p__Basidiomycota	26
