feature	Abiotrophia	Abyssicoccus	Acetobacter	Achromobacter	Acidaminococcus	Acidipropionibacterium	Acidovorax	Acinetobacter	Actinomyces	Adlercreutzia	Aequoribacter	Aeribacillus	Aerococcus	Aeromonas	Aerosticca	Aggregatibacter	Agrobacterium	Agrococcus	Akkermansia	Alcaligenes	Alicycliphilus	Alicyclobacillus	Alistipes	Allosaccharopolyspora	Altererythrobacter	Anaerobutyricum	Anaerococcus	Anaerostipes	Anoxybacillus	Aquabacterium	Arachnia	Arsenicicoccus	Arthrobacter	Aureimonas	Azorhizobium	Azospirillum	Bacillus	Bacteroides	Bifidobacterium	Blautia	Bordetella	Bosea	Brachybacterium	Bradyrhizobium	Brevibacillus	Brevibacterium	Brevilactibacter	Brevundimonas	Brochothrix	Brucella	Burkholderia	Caballeronia	Caldibacillus	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Caulobacter	Chroococcidiopsis	Chryseobacterium	Citrobacter	Cloacibacterium	Clostridium	Collinsella	Comamonas	Coprococcus	Corynebacterium	Croceicoccus	Cupriavidus	Curtobacterium	Cutibacterium	Deinococcus	Delftia	Dermabacter	Dermacoccus	Diaphorobacter	Dietzia	Dolosigranulum	Duganella	Effusibacillus	Eggerthella	Empedobacter	Enterobacter	Enterocloster	Enterococcus	Epilithonimonas	Erwinia	Erysipelatoclostridium	Escherichia	Exiguobacterium	Faecalibacterium	Fannyhessea	Filifactor	Finegoldia	Flavobacterium	Flavonifractor	Fusobacterium	Gardnerella	Gemella	Geobacillus	Glutamicibacter	Gordonia	Gordonibacter	Granulicatella	Haematobacter	Haemophilus	Halomonas	Halopseudomonas	Herbaspirillum	Hydrogenophaga	Hydrogenophilus	Hymenobacter	Ideonella	Intestinimonas	Janibacter	Jeotgalicoccus	Kaistella	Kingella	Klebsiella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacticaseibacillus	Lactobacillus	Lactococcus	Latilactobacillus	Lautropia	Lawsonella	Leclercia	Lelliottia	Leptotrichia	Leucobacter	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limnobacter	Limnohabitans	Limosilactobacillus	Listeria	Luteimonas	Lysobacter	Mageeibacillus	Mammaliicoccus	Massilia	Mediterraneibacter	Megamonas	Meiothermus	Mesorhizobium	Methylobacterium	Methylorubrum	Microbacterium	Micrococcus	Micropruina	Microvirgula	Miltoncostaea	Mixta	Mobiluncus	Modestobacter	Monoglobus	Moraxella	Morganella	Mycobacterium	Mycobacteroides	Mycolicibacterium	Nakamurella	Neisseria	Neobacillus	Nocardia	Nocardioides	Novosphingobium	Odoribacter	Olsenella	Ornithinimicrobium	Oryzomicrobium	Oscillibacter	Ottowia	Paenibacillus	Pandoraea	Pannonibacter	Pantoea	Parabacteroides	Paraburkholderia	Parachlamydia	Paracoccus	Parageobacillus	Paraprevotella	Parvimonas	Pauljensenia	Pedobacter	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Planococcus	Pluralibacter	Porphyrobacter	Porphyromonas	Prevotella	Priestia	Propionibacterium	Proteus	Providencia	Pseudoclavibacter	Pseudomonas	Pseudonocardia	Pseudorhizobium	Pseudoxanthomonas	Psychrobacter	Pusillimonas..ex.Kitahara.et.al..2021.	Rahnella	Ralstonia	Raoultella	Rheinheimera	Rhizobium	Rhodococcus	Rhodoferax	Rhodopseudomonas	Roseburia	Roseomonas	Rothia	Ruminococcus	Ruthenibacterium	Salmonella	Schaalia	Serinicoccus	Serratia	Shewanella	Shinella	Sinimarinibacterium	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Sphingosinithalassobacter	Spirosoma	Staphylococcus	Stenotrophomonas	Streptococcus	Streptomyces	Sulfurivermis	Sutterella	Tannerella	Tatumella	Tepidimonas	Tessaracoccus	Thauera	Thermaerobacter	Thermomonas	Thermus	Thioalkalivibrio	Thiopseudomonas	Treponema	Tsukamurella	Ureaplasma	Veillonella	Vescimonas	Vibrio	Vogesella	Weissella	Weizmannia	Xanthobacter	Xanthomonas
SRR20002365	0	0	0	65	3	0	915	82343	48	53	0	0	50	144	0	0	1108	0	39	66	279	0	42	0	0	21	81	103	0	1216	0	6	0	0	12	451	0	242	69	72	0	0	0	0	0	22	0	106	0	0	1819	12	11	7	0	0	0	96	1	5	0	0	0	69	86	189	3916	0	8612	2	209313	5	1762	0	536	290	12	0	0	0	0	0	894	0	274	891	0	0	233	0	1550	266	0	1315	0	0	0	167	2035	0	11	18	11	0	39	19	726	186	1675	1	5	0	0	0	0	0	0	16	0	27	0	0	0	9	0	12	0	0	5	5	0	0	0	0	0	8	0	9	0	72	18	0	0	0	0	0	94	0	68	0	63	401	40	38	0	0	0	0	16	0	0	7107	0	27	82	756	0	448	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	5674	2	175	0	0	0	0	0	10238	0	82	257	0	14	0	132	0	0	0	0	0	1318805	10	0	0	0	0	0	355	52	0	503	50	0	0	49	39	21229	4	0	0	0	0	0	299	0	80	7	3626	1985	192	0	0	165654	262	10663	3	0	0	0	0	0	0	0	0	5	2	39	4	0	0	0	3	0	0	7	0	0	0	26
SRR20002368	0	1	0	52	0	0	328	22110	25	0	0	0	0	0	30	0	312	0	0	2419	367	0	31	0	0	0	0	0	0	974	9	0	0	28	0	255	15	70	40	1	149	0	0	25	1	37	2	94	0	0	201	6	0	0	0	0	0	35	0	3	0	5	3	0	287	0	284	10	2273	0	13654	0	0	10	371	119	0	1	0	0	0	0	131	0	144	31	0	0	0	36	24	0	0	1	0	3	0	7	0	0	0	2	0	0	32	0	426	0	633	13	13	0	12	0	5	3	1	18	0	229	0	0	1	0	0	8	0	0	18	0	71	18	0	0	0	0	0	2	8	21	74	0	0	0	0	0	4	0	9	0	31	94	9	261	0	0	0	0	0	0	0	600	0	78	0	151	0	0	0	0	1	0	0	0	1	0	0	0	0	20	0	0	0	2339	7	17	0	0	2	2	0	0	0	14	5	0	0	17	5	0	0	0	72	2	241623	0	0	0	6	0	0	123	0	0	32	11	6	0	2	68	24	1	0	0	3	0	31	48	0	10	1	661	676	16	1	0	8396652	83	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	10
SRR20002369	0	0	0	0	0	0	0	0	0	0	0	0	59378	0	0	17	1	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	17	0	215	0	0	0	1	0	0	0	0	0	0	0	0	0	87	0	0	0	127989	0	0	427	0	11	0	0	0	145284	0	0	0	0	0	0	0	1866342	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6731	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	45	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	19	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	6	0	0	4	0	0	0	26176	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
SRR20002371	0	0	0	20	0	0	278	13411	103	5	0	0	0	0	49	0	54	8	18	0	0	0	86	0	0	0	0	22	28	76	0	0	0	5	0	956	0	287	146	12	40	0	0	0	0	15	0	27	2	8	233	0	0	4	0	0	0	0	0	0	0	0	31	72	89	62	230	0	312	0	16278	9	21	0	39	16	0	7	0	0	17	0	41	10	79	16	3	24	819	15	340	3	0	2	0	11	0	9	0	82	1	15	9	0	4	21	51	0	133	28	82	0	0	0	5	20	0	0	3675	94	57	0	0	7	5	22	0	0	7	3	0	0	2	0	0	4	5	0	0	118	20	0	0	0	21	18	129	0	1194	0	0	13	12	216	0	0	0	0	0	1	0	2079	0	41	26	68	0	29	0	0	0	5	1	0	0	0	0	0	0	0	4	0	40	519	0	19	3	0	0	0	0	0	7	78	6	0	0	0	13	47	0	0	25	0	31954	4	0	0	107	8	0	26	0	0	0	5	0	0	27	1032	112	0	0	0	1	0	0	0	0	6	0	80	223	9	0	1	77179	52	10723	14	0	10	0	0	3	0	0	0	0	34	7	0	1	0	0	7	4	0	0	2	0	0	38
SRR20002373	17	0	0	180	0	0	1836	93779	83	0	0	190	134	110	0	0	956	0	90	16174	68	3	541	0	0	59	0	126	207	1957	1	0	3	0	0	2794	295	558	241	34	839	0	0	39	5	98	0	391	3	0	1185	11	309	0	0	1	107	0	0	38	0	13	26	284	2079	35	3610	0	8313	0	42292	7	1609	0	1530	737	35	543	0	8	4	0	1292	0	319	211	299	7	677	0	691	0	0	5	5	5	0	16	31	300	0	189	25	0	72	239	1020	0	2434	24	887	0	21	0	56	0	0	83	0	227	1400	0	4	4	0	271	31	571	77	14	0	0	0	0	25	0	0	5	12	32	1816	0	0	84	13	0	79	0	7002	2	57	537	52	773	0	0	0	0	0	0	0	4983	0	227	51	665	4	46	175	23	40	134	0	0	0	0	0	1	18	72	24	26	25	9168	11	52	46	0	0	0	22	0	1	125	48	37	0	3	78	0	0	0	292	6	1121485	5	0	63	6	0	101	919	0	0	648	148	0	0	4	26	20	0	48	0	4	12	23	23	4	15	1	2314	3672	319	0	0	114135	554	308	61	0	16	0	0	9	0	0	6	0	166	44	0	0	0	0	7	87	31	8	0	0	0	55
SRR20002375	63	16	0	111	0	0	360	41802	52	2	0	40	10	120	123	0	428	2	1	27	80	1	42	0	0	2	8	75	40	468	5	0	1	0	7	759	186	50	148	0	0	1	27	0	0	168	0	95	7	28	509	13	17	0	0	1	5	61	130	9	0	0	0	100	1261	13	1925	0	3662	5	25021	128	1153	0	117	369	4	32	4	1	73	0	498	3	101	0	9	23	0	0	363	5	0	14	12	10	0	4	0	39	0	61	0	0	110	18	359	32	974	48	372	0	0	0	50	2	0	0	0	422	238	0	0	0	19	206	39	0	17	0	0	25	0	0	22	0	0	9	9	272	225	5	0	0	0	44	22	0	1927	0	18	100	93	643	0	0	0	444	0	0	0	2118	0	51	54	194	0	32	23	0	8	0	0	0	9	0	0	4	3	16	6	78	3	3781	3	45	2	0	0	4	0	0	0	54	11	47	3	6	49	250	0	0	105	0	444129	16	0	131	0	0	0	288	0	0	140	3317	0	0	34	32	223	3	2	0	8	21	0	0	0	8	11	1340	1183	44	0	0	44855	150	693	4	0	0	0	0	0	0	0	3	0	78	18	0	0	0	0	9	0	27	3	0	0	0	36
SRR20002377	0	0	0	15	1	0	88	3445	0	0	0	0	0	0	0	0	75	0	0	14	31	0	17	0	0	0	0	0	0	50	0	0	0	10	0	78	0	35	10	7	0	0	1	0	1	12	0	16	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	28	13	3	35	1	269	0	5017	0	0	0	58	21	9	2	0	0	9	0	0	0	3	0	0	0	0	0	48	0	0	0	0	5	0	0	0	0	0	9	0	0	0	7	29	0	115	0	2	0	0	0	1	0	0	0	0	308	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	37	20	13	66	0	0	0	0	0	0	0	77	0	6	2	19	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	539	4	0	0	0	0	0	0	0	2	6	7	0	0	0	1	0	0	0	7	0	25458	1	2	0	0	0	0	27	0	0	15	4	0	0	0	0	1	0	1	0	0	2	0	72	0	0	0	89	49	8	0	0	169622	28	13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
SRR20002378	13	0	0	35	0	2	276	24202	43	0	0	0	13	297	0	0	181	0	8	332	58	1	58	1	0	1	0	23	0	194	32	0	3	0	2	604	61	42	61	0	81	0	0	7	0	14	0	123	5	25	60	0	0	0	0	0	0	0	0	0	0	0	0	49	116	10	346	0	1254	0	3791	3	132	0	189	62	4	0	0	0	8	0	0	10	47	26	0	0	168	0	139	12	6	0	0	7	0	146	1	0	0	0	0	8	0	13	136	15	413	0	9	0	0	0	20	0	0	0	140	142	3	0	0	0	28	144	2	0	2	0	47	7	0	9	2	0	0	0	0	17	12	0	0	59	9	4	25	0	18	0	29	39	47	238	0	0	4	0	0	0	3	1733	0	31	18	158	3	12	0	0	0	33	0	1	0	0	0	0	0	8	0	0	22	1836	0	83	0	0	10	0	0	0	0	31	5	24	7	0	21	11	0	0	0	0	157248	2	0	16	26	0	0	40	0	0	38	28	0	0	0	58	77	2	14	0	10	0	0	226	0	7	4	448	1201	56	5	0	65025	222	172	18	0	1	0	0	0	0	0	0	0	3	0	0	0	8	0	9	3	0	2	0	0	0	10
SRR20002379	0	0	0	177	2	0	2092	76189	67	0	0	0	21	0	5103	0	587	0	1	3912	466	4	33	0	3	0	6	63	0	2428	0	12	3	14	1	532	124	85	152	0	176	0	0	17	0	117	12	189	0	177	1390	6	0	0	0	0	30	745	1	15	0	4	45	233	416	0	636	0	9289	6	10393	14	1653	0	389	1600	227	0	0	0	33	0	126	3	873	442	13	0	329	7	370	0	0	0	0	14	1	12	0	0	0	125	0	0	91	10	712	53	2231	82	32	0	251	0	172	0	5	0	0	991	25	0	0	0	0	5	25	0	0	0	0	0	0	0	20	0	0	0	2	50	74	0	0	0	0	0	25	0	0	2	14	346	117	278	0	0	0	0	0	3	0	4470	0	26	0	898	344	37	0	0	86	0	0	1	86	7	0	0	0	19	62	44	0	10731	10	121	0	2	0	0	0	0	0	50	7	0	0	13	13	0	55	0	198	0	1897655	10	0	65	263	0	0	574	0	1	401	213	57	0	21	57	399	1	0	112	0	179	0	0	24	24	3	1955	1739	198	0	0	10805	1243	84	0	0	4	0	136	0	19	17	0	0	0	40	0	0	0	0	13	0	0	2	19	0	0	112
SRR20002380	0	0	0	0	0	0	11	2262	0	0	0	14	0	10	0	0	29	0	1	0	0	0	0	0	0	0	0	2	0	72	8	0	0	0	1	216	8	1	186	0	14	0	0	0	1	6	29	0	0	0	64	0	423	0	0	0	0	0	0	5	0	0	2	5	0	0	93	0	192	0	1051	5	0	0	70	23	1	0	0	0	0	0	61	0	20	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	0	0	2	0	16	30	0	112	0	5	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	97	0	0	0	82	0	0	6	0	0	0	0	0	0	2	0	0	6	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	26	0	28644	0	0	6	0	0	0	0	0	0	26	0	0	0	0	0	81	0	0	0	0	0	0	14	3	0	0	72	29	11	0	0	6701733	12	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	756	0	0
SRR20002382	474	2	70	108	0	472	1673	217559	802	0	0	0	97	104	274	23	856	0	90	674	209	17	135	0	11	24	1486	49	475	3854	11	0	0	0	0	2043	0	445	704	64	6	1	42	56	0	166	41	569	1017	206	13463	13	39	42	42	0	17	672	3	83	0	0	0	470	1800	37	8642	0	14140	0	138158	22	672	0	205	1846	84	35	0	16	284	0	681	13	652	28	78	0	2728	0	1057	0	0	160	0	60	29	425	10	923	0	161	0	895	8	2609	1585	247	2757	848	2395	0	49	33	141	893	0	0	0	5034	240	0	12	0	248	1192	261	9	2	0	24	0	40	0	0	0	0	9	12	274	0	17	0	0	1627	11	265	43	20490	7	140	301	78	2485	0	0	0	0	0	0	0	14307	11	176	0	1870	0	526	537	0	3	112	11	65	0	2	0	0	0	17	32	367	0	14276	50	294	67	4	0	0	0	683	19	204	95	0	0	21	181	347	9	0	547	0	1458904	42	0	174	6278	0	0	957	0	5	1432	138	0	0	74	8	735	3	2	0	875	3	57	259	0	99	0	3678	2810	343	0	12	304321	757	6011	17	0	0	0	210	0	76	0	4	0	417	31	0	0	0	0	45	0	60	8	0	0	4	92
SRR20002384	0	0	2	39	0	0	117	21836	0	0	0	0	6	27	0	0	231	0	0	36	182	0	21	0	0	0	0	7	25	275	4	0	0	0	0	943	214	18	34	32	0	0	2	26	0	117	0	69	0	0	89	9	7	0	0	2	0	0	1	12	270	0	0	22	131	2	1285246	0	1119	0	14611	26	62	0	70	186	2	25	3	2	24	0	475	0	175	14	4	0	217	5	78	0	0	6	3	5	0	0	0	13	0	40	8	20	11	0	142	0	304	0	128	0	14	0	0	0	0	0	0	21	27	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0	0	1	55	0	0	0	0	0	11	28	0	1574	5	41	34	9	188	0	0	0	0	0	0	0	2555	0	14	7	210	0	23	7	2	5	0	1	0	8	5	0	0	0	0	0	4	0	1317	2	99	4	0	0	0	0	0	2	9	43	0	0	1	31	1293	0	0	56	0	131188	10	0	24	12	0	0	116	0	0	0	83	0	0	0	5	93	2	4	0	8	11	12	0	0	23	4	282	309	33	0	13	26476	356	71	0	3	0	0	0	3	5	5	2	5	37	0	0	0	0	0	0	0	0	3	0	0	0	7
SRR20002386	2	0	0	46	0	0	164	4075	19	0	0	0	7	0	57	0	107	0	0	318	0	2	0	0	0	0	0	8	0	151	0	0	0	0	2	32	7	10	207	0	0	0	0	7	0	7	6	5	0	0	259	5	197	0	0	1	0	160	0	0	0	0	0	0	94	0	146	0	657	0	4259	0	57	0	112	0	0	7	0	0	0	0	29	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	125	12	369	14	64	0	0	0	0	0	0	2	0	111	8	0	0	0	0	17	0	0	0	0	0	0	0	7	5	0	0	0	0	0	12	0	5	0	0	11	6	0	7	0	21	34	42	96	0	0	0	0	0	0	0	337	0	16	0	70	0	7	0	0	6	10	0	0	1	0	0	0	0	5	11	0	0	1384	6	30	0	0	0	8	0	0	0	6	29	0	0	1	6	0	5	0	6	0	58141	0	0	31	0	0	0	90	34	0	16	11	0	1	0	2	91	0	0	0	8	0	0	0	0	3	0	285	127	11	0	0	1298	54	96	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	147	0	5
SRR20002388	16	0	0	97	28	0	547	74752	79	12	18	0	0	95	128	0	544	0	252	126	218	4	215	2	0	25	10	217	0	827	0	0	29	20	21	5231	0	1167	692	64	356	0	0	0	2	64	40	204	53	85	369	0	37	10	0	0	0	0	24	1	254	18	0	262	393	117	1398	0	2921	0	14759	6	0	0	124	362	38	5	0	1	78	0	60	57	125	121	0	5	680	0	913	0	0	5	0	28	0	16	0	0	4	39	10	0	42	9	357	32	840	73	132	0	25	3	30	5	15	0	457	222	67	0	40	9	0	72	0	0	15	0	0	24	0	0	0	0	0	31	6	167	61	2	22	0	150	38	176	0	949	9	39	213	111	1665	0	0	0	2	0	1	3	8330	0	16	170	229	1	20	50	0	15	115	10	1	11	0	39	0	0	25	80	6	247	3983	9	237	0	10	0	0	5	7	19	473	37	0	0	10	124	6	0	25	156	0	382372	20	0	41	0	3	0	271	0	6	109	73	10	9	89	103	130	21	51	0	10	3	41	0	31	91	9	1350	1424	275	0	2	276111	260	453	0	13	17	0	0	0	0	0	0	4	56	17	0	0	0	0	14	25	0	1	27	0	0	66
SRR20002391	49	0	29	372	0	0	2003	345859	115	18	23	13	42	2099	1804	9	2418	60	212	10980	602	1	689	0	3	66	0	436	0	4732	29	0	0	274	40	15076	0	2342	911	206	158	13	7	75	0	280	0	829	0	481	3403	11	46	36	2	4	0	258	0	21	0	22	0	1416	1161	989	4522	0	25769	24	708915	26	657	0	675	1400	11	100	0	0	1253	0	770	37	2816	1038	0	188	3811	0	4322	42	197	5	16	551	0	0	0	125	0	104	72	0	472	28	2226	172	5059	82	869	1	171	31	45	9	0	0	457	1479	75	0	18	76	0	99	76	558	4	0	0	0	33	0	7	0	0	14	41	896	2373	0	0	0	1242	19	1541	9	68	14	68	711	426	2801	10	2	0	0	0	0	0	12748	17	129	174	1280	0	52	0	101	46	6	10	17	6	2	14	2	0	281	44	63	109	22085	26	1809	0	16	0	0	0	196	18	884	21	9	0	50	144	0	0	0	437	0	3761105	66	0	57	228	0	0	984	97	2	1942	252	112	14	81	213	316	1	75	0	1	381	81	0	64	36	7	6178	10351	529	0	0	550279	487	1200	92	0	23	24	0	23	13	43	0	0	0	88	0	0	14	0	176	78	23	31	11	0	0	434
SRR20002394	0	0	0	0	0	0	23	0	12	0	0	0	0	0	0	0	28	0	0	17	304	0	0	0	0	0	0	190	0	45	0	0	0	0	0	71	0	39	126	0	0	0	6	0	0	61	0	7	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997042	0	166	0	1609	0	0	17834	32	25	25	0	0	0	0	0	0	0	371	0	0	35	0	0	133	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	47	0	11	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	3	6056	0	4	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	4	82	0	40	0	0	13	4	29	0	0	0	0	11	0	0	320	0	0	0	25	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	25	0	0	250	0	0	0	47	0	0	0	0	0	15488	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	31	0	0	0	0	31	0	0	0	0	0	0	7	0	0	0	70307	0	311	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6	0	0	1	0	0	0	0
SRR20002396	26	5	28	68	0	0	873	84851	699	0	0	7	109	859	0	0	590	8	104	89	128	0	38	0	0	9	39	15	124	1379	29	0	266	36	4	648	84	285	289	142	241	0	5	42	0	679	41	195	71	90	815	0	19	0	0	0	0	74	0	1	510	0	0	102	3779	0	3118	0	6169	7	28331	7	1852	53	182	253	47	192	5	6	27	5	600	42	377	136	4	0	721472	23	860	0	55	104	0	20	3	14	11	57	534	595	0	27	41	211	505	0	1355	3	566	0	0	0	22	10	1	46	275	716	219	0	12	3	309	972	284	0	93	3	133	0	0	21	57	0	59	0	0	489	137	15	0	0	212	84	179	0	2861	15	76	479	416	1287	18	5	0	186	0	0	0	13171	15	53	239	432	0	1377	24	0	160	2	6	7	2	0	0	0	0	32	0	100	44	6079	26	199	0	0	0	0	0	0	0	104	30	10	0	83	104	329	13	0	35	0	1024501	5	0	225	59	7	0	426	177	26	598	92	49	4	61	49	1049	5	40	0	8	11	213	90	8	0	0	1867	3603	257	1	0	47664	440	11451	6	0	4	19	9	6	21	0	1	6	67	69	0	0	2	0	60	0	0	3	8	0	0	39
SRR20002397	9	0	0	149	0	0	626	42566	631	1	0	0	0	95	103	0	669	0	18	9563	1014	2	13	0	0	0	0	44	0	1601	98	0	0	25	0	143	127	50	47	38	0	0	0	49	0	54	22	233	0	191	639	18	18	2	0	0	12	0	0	0	29	0	0	38	1259	0	2113	0	6822	0	21807	2	102	23	613	439	0	70	0	0	0	0	1190	0	163	95	0	0	0	0	221	0	0	18	0	0	0	19	0	0	706	0	0	0	75	23	420	21	1577	49	20	0	42	0	0	0	0	13	0	693	0	0	0	0	0	376	0	5	4	2	0	9	88	269	3	0	0	0	0	122	153	17	0	708	0	0	39	0	18	1	32	116	104	7603	0	0	0	0	0	0	0	842	0	11	14	430	0	101	0	0	0	14	0	28	3	0	0	38	0	97	20	13	0	7254	5	178	0	0	0	63	3	0	0	7	255	0	46	0	48	0	0	0	116	0	1282063	1	0	65	0	0	0	345	0	2	55	32	4	0	27	0	14206	3	10	0	4	0	0	0	0	146	3	1102	398	59	0	0	22300	187	117	9	0	0	58	0	0	6	0	0	0	4	15	0	14	0	0	0	0	4	0	2	0	0	5
SRR20002401	90	0	31	2843	0	0	1034	221844	673	0	0	0	306	736	0	0	795	0	6	1326	1158	1	23	0	6	0	0	0	0	3139	12	0	12	0	8	398	10766	261	544	91	654	0	0	25	68	60	0	336	144	20	2229	0	0	93	50	17	0	1091	0	33	89	0	67	57	3484	100	11141	85	15057	20	290584	35	875	579	2206	2022	0	187	0	0	60	6	0	0	22275	1026	0	0	26576	0	66	37	0	90	48	0	4	122	10725	0	0	43	0	139	68	1268	790	142	3837	387	82	0	93	0	90	19	11	90	747	541	9	0	0	0	0	2933	9113	60	507	7	0	0	4	0	25	0	206	16	0	720	1754	0	9	0	47	18	1267	0	80	46	344	1294	67	1262	0	11	0	0	58	0	0	27157	164	165	216	635	3	14826	0	0	10	567	0	2	13	7	0	35	213	134	52	708	127	13376	27	164	0	0	233	90	0	219	0	6032	239	0	98	67	174	0	31	9650	925	0	1859524	26	0	337	0	0	27	847	0	0	1456	162	14	0	0	298	1750	2	8	0	60	0	139	0	45	87	29	6058	8475	172	0	3	1161223	1606	1107299	17	6	0	1	0	17	487	25	0	10	0	71	0	0	7	0	475	41	0	89	0	0	53	1479
SRR20002402	3	0	0	0	0	0	118	12265	14	0	0	0	0	11	45	0	135	0	4	226	72	0	10	0	6	0	0	29	0	378	0	0	0	66	3	104	14	31	22	0	0	0	0	0	0	169	0	68	0	8	4145	0	0	0	0	0	0	0	0	0	0	0	0	42	165	27	293	0	1570	0	5191	4	109	0	29	318	12	0	0	0	0	0	0	2	93	9	0	0	0	8	29	0	0	0	0	0	0	3	0	0	0	18	0	9	0	10	110	19	674	1	11	0	0	0	7	6	0	0	0	160	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	18	0	0	0	0	12	6	0	38	0	15	99	16	172	0	0	1	0	0	0	0	182	0	17	5	228	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	2504	3	13	0	0	0	0	0	0	0	23	147	0	0	3	38	0	0	0	32	0	178516	2	10	0	3	0	0	123	0	0	15	3	9	0	41	0	79	0	0	0	12	0	0	0	0	50	0	354	212	38	0	1	8988	114	24	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	3	0	0	0	0	0	12
SRR20002403	0	0	0	11	0	0	55	2754	0	0	0	10	0	0	11	4	108	0	0	209	41	2	0	0	0	0	0	0	0	109	0	0	1	0	0	14	0	2	3	0	0	0	0	5	0	4	0	19	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	52	0	413	0	644	1	0	0	45	29	1	1	0	0	1	0	13	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	23	9	203	1	8	0	0	0	3	0	0	0	0	27	0	0	0	0	0	0	1	0	3	0	0	0	0	0	10	12	0	1	0	3	3	0	1	0	0	1	0	0	21	0	11	24	6	38	0	0	0	0	0	0	0	257	0	11	0	282	0	1	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	861	2	9	0	0	0	14	0	0	0	0	7	0	0	1	6	0	0	0	5	0	32982	0	1	45	2	0	0	51	22	1	18	10	0	0	0	0	31	0	0	0	0	2	0	16	0	0	0	135	45	17	0	0	4112	14	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
