#Classification	GQ9_bracken_P.kreport
k__Bacteria	10354629
k__Bacteria|p__Firmicutes	3252951
k__Bacteria|p__Actinobacteria	1943096
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Bacteroidetes	2759948
k__Bacteria|p__Proteobacteria	1771652
k__Bacteria|p__Candidatus_Saccharibacteria	409222
k__Bacteria|p__Fusobacteria	198023
k__Bacteria|p__Spirochaetes	19391
k__Bacteria|p__Synergistetes	338
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	7127
k__Eukaryota|k__Metazoa	6242
k__Eukaryota|k__Metazoa|p__Chordata	6242
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	661
k__Eukaryota|k__Viridiplantae|p__Streptophyta	651
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	10
k__Eukaryota|p__Apicomplexa	213
k__Archaea	3
k__Archaea|p__Euryarchaeota	2
k__Archaea|p__Crenarchaeota	1
k__Viruses	477
k__Viruses|k__Heunggongvirae	472
k__Viruses|k__Heunggongvirae|p__Uroviricota	451
k__Viruses|k__Heunggongvirae|p__Peploviricota	21
k__Viruses|k__Shotokuvirae	5
k__Viruses|k__Shotokuvirae|p__Cossaviricota	5
