#Classification	GQ46_bracken_P.kreport
k__Bacteria	8871287
k__Bacteria|p__Bacteroidetes	4429323
k__Bacteria|p__Firmicutes	3986486
k__Bacteria|p__Actinobacteria	278621
k__Bacteria|p__Tenericutes	215
k__Bacteria|p__Proteobacteria	176317
k__Bacteria|p__Verrucomicrobia	191
k__Bacteria|p__Spirochaetes	101
k__Bacteria|p__Candidatus_Saccharibacteria	18
k__Bacteria|p__Synergistetes	7
k__Bacteria|p__Fusobacteria	3
k__Archaea	6844
k__Archaea|p__Euryarchaeota	6844
k__Eukaryota	293
k__Eukaryota|k__Viridiplantae	226
k__Eukaryota|k__Viridiplantae|p__Streptophyta	226
k__Eukaryota|k__Metazoa	58
k__Eukaryota|k__Metazoa|p__Chordata	58
k__Eukaryota|k__Fungi	8
k__Eukaryota|k__Fungi|p__Basidiomycota	6
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Viruses	94
k__Viruses|k__Heunggongvirae	94
k__Viruses|k__Heunggongvirae|p__Uroviricota	94
